date,three_month_return
"March 19, 2020",-70.55%
"March 18, 2020",-75.06%
"March 17, 2020",-70.63%
"March 16, 2020",-72.30%
"March 13, 2020",-67.78%
"March 12, 2020",-71.04%
"March 11, 2020",-67.70%
"March 10, 2020",-66.34%
"March 9, 2020",-65.96%
"March 6, 2020",-58.48%
"March 5, 2020",-55.14%
"March 4, 2020",-55.90%
"March 3, 2020",-53.83%
"March 2, 2020",-55.95%
"Feb. 28, 2020",-68.38%
"Feb. 27, 2020",-69.85%
"Feb. 26, 2020",-69.27%
"Feb. 25, 2020",-67.13%
"Feb. 24, 2020",-64.59%
"Feb. 21, 2020",-62.94%
"Feb. 20, 2020",-58.67%
"Feb. 19, 2020",-56.22%
"Feb. 18, 2020",-55.74%
"Feb. 14, 2020",-56.50%
"Feb. 13, 2020",-54.81%
"Feb. 12, 2020",-51.29%
"Feb. 11, 2020",-53.14%
"Feb. 10, 2020",-49.12%
"Feb. 7, 2020",-33.48%
"Feb. 6, 2020",-17.53%
"Feb. 5, 2020",-21.18%
"Feb. 4, 2020",-25.24%
"Feb. 3, 2020",-32.03%
"Jan. 31, 2020",-39.13%
"Jan. 30, 2020",-36.48%
"Jan. 29, 2020",-35.37%
"Jan. 28, 2020",-35.66%
"Jan. 27, 2020",-34.69%
"Jan. 24, 2020",-34.02%
"Jan. 23, 2020",-31.22%
"Jan. 22, 2020",-34.02%
"Jan. 21, 2020",-35.00%
"Jan. 17, 2020",-30.90%
"Jan. 16, 2020",-30.57%
"Jan. 15, 2020",-30.87%
"Jan. 14, 2020",-33.61%
"Jan. 13, 2020",-27.03%
"Jan. 10, 2020",-26.39%
"Jan. 9, 2020",-19.90%
"Jan. 8, 2020",-23.33%
"Jan. 7, 2020",-27.27%
"Jan. 6, 2020",-28.14%
"Jan. 3, 2020",-19.65%
"Jan. 2, 2020",-18.92%
"Dec. 31, 2019",-29.11%
"Dec. 30, 2019",-35.02%
"Dec. 27, 2019",-30.63%
"Dec. 26, 2019",-6.94%
"Dec. 24, 2019",5.10%
"Dec. 23, 2019",3.12%
"Dec. 20, 2019",8.00%
"Dec. 19, 2019",8.67%
"Dec. 18, 2019",7.74%
"Dec. 17, 2019",16.67%
"Dec. 16, 2019",8.54%
"Dec. 13, 2019",19.33%
"Dec. 12, 2019",26.35%
"Dec. 11, 2019",22.70%
"Dec. 10, 2019",60.16%
"Dec. 9, 2019",71.77%
"Dec. 6, 2019",65.35%
"Dec. 5, 2019",61.72%
"Dec. 4, 2019",92.66%
"Dec. 3, 2019",69.57%
"Dec. 2, 2019",106.4%
"Nov. 29, 2019",140.7%
"Nov. 27, 2019",132.5%
"Nov. 26, 2019",120.3%
"Nov. 25, 2019",133.0%
"Nov. 22, 2019",117.8%
"Nov. 21, 2019",108.5%
"Nov. 20, 2019",81.82%
"Nov. 19, 2019",49.36%
"Nov. 18, 2019",37.43%
"Nov. 15, 2019",27.66%
"Nov. 14, 2019",-20.65%
"Nov. 13, 2019",-23.15%
"Nov. 12, 2019",-26.81%
"Nov. 11, 2019",-28.66%
"Nov. 8, 2019",-29.41%
"Nov. 7, 2019",-27.01%
"Nov. 6, 2019",-38.61%
"Nov. 5, 2019",-39.58%
"Nov. 4, 2019",-41.81%
"Nov. 1, 2019",-33.81%
"Oct. 31, 2019",-33.72%
"Oct. 30, 2019",-30.09%
"Oct. 29, 2019",-28.07%
"Oct. 28, 2019",-32.22%
"Oct. 25, 2019",-32.32%
"Oct. 24, 2019",-31.84%
"Oct. 23, 2019",-36.29%
"Oct. 22, 2019",-44.98%
"Oct. 21, 2019",-45.45%
"Oct. 18, 2019",-45.52%
"Oct. 17, 2019",-45.69%
"Oct. 16, 2019",-45.48%
"Oct. 15, 2019",-45.88%
"Oct. 14, 2019",-44.60%
"Oct. 11, 2019",-49.32%
"Oct. 10, 2019",-50.00%
"Oct. 9, 2019",-52.26%
"Oct. 8, 2019",-49.76%
"Oct. 7, 2019",-45.13%
"Oct. 4, 2019",-46.28%
"Oct. 3, 2019",-46.74%
"Oct. 2, 2019",-48.13%
"Oct. 1, 2019",-50.68%
"Sept. 30, 2019",-44.88%
"Sept. 27, 2019",-47.02%
"Sept. 26, 2019",-58.11%
"Sept. 25, 2019",-54.41%
"Sept. 24, 2019",-62.17%
"Sept. 23, 2019",-62.09%
"Sept. 20, 2019",-64.29%
"Sept. 19, 2019",-64.20%
"Sept. 18, 2019",-61.82%
"Sept. 17, 2019",-63.33%
"Sept. 16, 2019",-61.41%
"Sept. 13, 2019",-65.20%
"Sept. 12, 2019",-65.18%
"Sept. 11, 2019",-62.09%
"Sept. 10, 2019",-70.02%
"Sept. 9, 2019",-69.61%
"Sept. 6, 2019",-68.09%
"Sept. 5, 2019",-63.64%
"Sept. 4, 2019",-67.37%
"Sept. 3, 2019",-65.67%
"Aug. 30, 2019",-67.07%
"Aug. 29, 2019",-65.44%
"Aug. 28, 2019",-64.22%
"Aug. 27, 2019",-63.78%
"Aug. 26, 2019",-61.92%
"Aug. 23, 2019",-64.40%
"Aug. 22, 2019",-64.78%
"Aug. 21, 2019",-64.88%
"Aug. 20, 2019",-58.88%
"Aug. 19, 2019",-50.00%
"Aug. 16, 2019",-47.38%
"Aug. 15, 2019",-48.21%
"Aug. 14, 2019",-12.43%
"Aug. 13, 2019",-11.65%
"Aug. 12, 2019",-13.39%
"Aug. 9, 2019",-8.22%
"Aug. 8, 2019",-11.26%
"Aug. 7, 2019",-14.33%
"Aug. 6, 2019",-13.90%
"Aug. 5, 2019",-7.69%
"Aug. 2, 2019",-2.21%
"Aug. 1, 2019",-4.64%
"July 31, 2019",-4.93%
"July 30, 2019",-4.38%
"July 29, 2019",-6.30%
"July 26, 2019",1.41%
"July 25, 2019",3.72%
"July 24, 2019",2.87%
"July 23, 2019",7.83%
"July 22, 2019",24.79%
"July 19, 2019",26.80%
"July 18, 2019",25.36%
"July 17, 2019",23.99%
"July 16, 2019",22.09%
"July 15, 2019",23.19%
"July 12, 2019",24.64%
"July 11, 2019",24.08%
"July 10, 2019",24.86%
"July 9, 2019",22.03%
"July 8, 2019",21.87%
"July 5, 2019",23.46%
"July 3, 2019",26.47%
"July 2, 2019",24.78%
"July 1, 2019",26.59%
"June 28, 2019",25.73%
"June 27, 2019",21.80%
"June 26, 2019",20.06%
"June 25, 2019",18.95%
"June 24, 2019",21.70%
"June 21, 2019",22.32%
"June 20, 2019",21.74%
"June 19, 2019",20.06%
"June 18, 2019",15.01%
"June 17, 2019",15.54%
"June 14, 2019",19.38%
"June 13, 2019",14.63%
"June 12, 2019",13.94%
"June 11, 2019",18.46%
"June 10, 2019",18.94%
"June 7, 2019",13.02%
"June 6, 2019",11.80%
"June 5, 2019",-2.76%
"June 4, 2019",-7.73%
"June 3, 2019",-7.20%
"May 31, 2019",-9.39%
"May 30, 2019",-7.73%
"May 29, 2019",-9.67%
"May 28, 2019",-9.67%
"May 24, 2019",-10.03%
"May 23, 2019",-10.03%
"May 22, 2019",-6.69%
"May 21, 2019",-5.35%
"May 20, 2019",-10.58%
"May 17, 2019",-8.77%
"May 16, 2019",-4.97%
"May 15, 2019",6.14%
"May 14, 2019",2.31%
"May 13, 2019",-0.56%
"May 10, 2019",4.27%
"May 9, 2019",3.99%
"May 8, 2019",3.70%
"May 7, 2019",9.67%
"May 6, 2019",-1.87%
"May 3, 2019",-0.55%
"May 2, 2019",-1.09%
"May 1, 2019",0.00%
"April 30, 2019",-1.08%
"April 29, 2019",-2.41%
"April 26, 2019",-4.31%
"April 25, 2019",-5.93%
"April 24, 2019",-3.06%
"April 23, 2019",-3.36%
"April 22, 2019",-3.04%
"April 18, 2019",-7.22%
"April 17, 2019",-6.74%
"April 16, 2019",-5.75%
"April 15, 2019",-7.01%
"April 12, 2019",-6.18%
"April 11, 2019",-5.11%
"April 10, 2019",-5.46%
"April 9, 2019",-2.27%
"April 8, 2019",-2.83%
"April 5, 2019",-1.73%
"April 4, 2019",-1.73%
"April 3, 2019",-0.87%
"April 2, 2019",-0.29%
"April 1, 2019",4.85%
"March 29, 2019",3.98%
"March 28, 2019",4.59%
"March 27, 2019",5.20%
"March 26, 2019",8.52%
"March 25, 2019",9.58%
"March 22, 2019",5.90%
"March 21, 2019",7.14%
"March 20, 2019",2.07%
"March 19, 2019",2.95%
"March 18, 2019",4.44%
"March 15, 2019",1.14%
"March 14, 2019",1.71%
"March 13, 2019",2.17%
"March 12, 2019",3.32%
"March 11, 2019",-10.37%
"March 8, 2019",-14.11%
"March 7, 2019",-13.64%
"March 6, 2019",-13.80%
"March 5, 2019",-13.60%
"March 4, 2019",-13.60%
"March 1, 2019",-15.65%
"Feb. 28, 2019",-14.42%
"Feb. 27, 2019",-12.65%
"Feb. 26, 2019",-13.84%
