date,shareholders_equity
"Dec. 31, 2019",-200.87M
"Sept. 30, 2019",-230.44M
"June 30, 2019",-290.09M
"March 31, 2019",-66.37M
"Dec. 31, 2018",118.38M
"Sept. 30, 2018",105.81M
"June 30, 2018",141.37M
"March 31, 2018",168.00M
"Dec. 31, 2017",-60.21M
"Sept. 30, 2017",-215.75M
"June 30, 2017",-53.68M
"March 31, 2017",-111.97M
"Dec. 31, 2016",-155.49M
"Sept. 30, 2016",-286.59M
"June 30, 2016",-148.20M
"March 31, 2016",-501.59M
"Dec. 31, 2015",-485.40M
"Sept. 30, 2015",-484.49M
"June 30, 2015",-425.52M
"March 31, 2015",-503.88M
"Dec. 31, 2014",-464.30M
"Sept. 30, 2014",-281.56M
"June 30, 2014",-163.30M
"March 31, 2014",-88.72M
"Dec. 31, 2013",-172.28M
"Sept. 30, 2013",-332.51M
"June 30, 2013",-186.06M
"March 31, 2013",-136.16M
"Dec. 31, 2012",-247.04M
"March 31, 2012",-502.32M
