date,long_term_debt
"Dec. 31, 2019",383.09M
"Sept. 30, 2019",381.22M
"June 30, 2019",561.94M
"March 31, 2019",515.23M
"Dec. 31, 2018",415.62M
"Sept. 30, 2018",409.00M
"June 30, 2018",436.65M
"March 31, 2018",326.82M
"Dec. 31, 2017",262.08M
"Sept. 30, 2017",261.79M
"June 30, 2017",400.26M
"March 31, 2017",373.50M
"Dec. 31, 2016",385.35M
"Sept. 30, 2016",211.86M
"June 30, 2016",251.21M
"March 31, 2016",508.88M
"Dec. 31, 2015",500.85M
"Sept. 30, 2015",510.58M
"June 30, 2015",544.71M
"March 31, 2015",533.59M
"Dec. 31, 2014",568.04M
"Sept. 30, 2014",727.32M
"June 30, 2014",725.39M
"March 31, 2014",841.37M
"Dec. 31, 2013",830.28M
"Sept. 30, 2013",697.29M
"June 30, 2013",775.75M
"March 31, 2013",782.61M
"Dec. 31, 2012",760.81M
"March 31, 2012",681.18M
