date,tangible_common_equity_ratio
"Dec. 31, 2019",-100.1%
"Sept. 30, 2019",-80.50%
"June 30, 2019",-76.84%
"March 31, 2019",-48.64%
"Dec. 31, 2018",-23.78%
"Sept. 30, 2018",-22.08%
"June 30, 2018",-18.48%
"March 31, 2018",-15.42%
"Dec. 31, 2017",-44.15%
"Sept. 30, 2017",-69.83%
"June 30, 2017",-48.56%
"March 31, 2017",-57.65%
"Dec. 31, 2016",-61.19%
"Sept. 30, 2016",-74.46%
"June 30, 2016",-60.87%
"March 31, 2016",-104.5%
"Dec. 31, 2015",-112.8%
"Sept. 30, 2015",-108.3%
"June 30, 2015",-98.41%
"March 31, 2015",-103.9%
"Dec. 31, 2014",-102.4%
"Sept. 30, 2014",-54.13%
"June 30, 2014",-44.83%
"March 31, 2014",-40.64%
"Dec. 31, 2013",-52.71%
"Sept. 30, 2013",-68.61%
"June 30, 2013",-59.66%
"March 31, 2013",-54.15%
"Dec. 31, 2012",-65.92%
"Sept. 30, 2012",
"June 30, 2012",
"March 31, 2012",-105.7%
