date,net_income_cs_rev
"Dec. 31, 2019",2.77%
"Sept. 30, 2019",-40.34%
"June 30, 2019",0.44%
"March 31, 2019",13.15%
"Dec. 31, 2018",2.87%
"Sept. 30, 2018",-97.34%
"June 30, 2018",2.74%
"March 31, 2018",-4.13%
"Dec. 31, 2017",-85.59%
"Sept. 30, 2017",4.44%
"June 30, 2017",3.63%
"March 31, 2017",-0.31%
"Dec. 31, 2016",7.24%
"Sept. 30, 2016",6.98%
"June 30, 2016",9.58%
"March 31, 2016",0.82%
"Dec. 31, 2015",19.24%
"Sept. 30, 2015",9.00%
"June 30, 2015",-4.78%
"March 31, 2015",-52.01%
"Dec. 31, 2014",22.79%
"Sept. 30, 2014",11.11%
"June 30, 2014",11.11%
"March 31, 2014",8.99%
"Dec. 31, 2013",48.90%
"Sept. 30, 2013",9.04%
"June 30, 2013",8.96%
"March 31, 2013",10.58%
"Dec. 31, 2012",10.52%
"Sept. 30, 2012",9.84%
"June 30, 2012",8.62%
"March 31, 2012",8.79%
"Dec. 31, 2011",11.60%
"Sept. 30, 2011",9.12%
"June 30, 2011",10.57%
"March 31, 2011",8.96%
"Dec. 31, 2010",11.32%
"Sept. 30, 2010",5.81%
"June 30, 2010",8.42%
"March 31, 2010",5.37%
"Dec. 31, 2009",7.55%
"Sept. 30, 2009",6.60%
"June 30, 2009",6.88%
"March 31, 2009",7.36%
"Dec. 31, 2008",8.22%
"Sept. 30, 2008",9.13%
"June 30, 2008",10.83%
"March 31, 2008",10.19%
"Dec. 31, 2007",13.80%
"Sept. 30, 2007",13.08%
"June 30, 2007",12.70%
"March 31, 2007",11.66%
"Dec. 31, 2006",15.74%
"Sept. 30, 2006",12.85%
"June 30, 2006",13.10%
"March 31, 2006",11.68%
"Dec. 31, 2005",11.70%
"Sept. 30, 2005",12.86%
"June 30, 2005",12.72%
"March 31, 2005",11.54%
"Dec. 31, 2004",23.34%
"Sept. 30, 2004",10.62%
"June 30, 2004",10.20%
"March 31, 2004",10.02%
"Dec. 31, 2003",30.61%
"Sept. 30, 2003",10.93%
"June 30, 2003",11.37%
"March 31, 2003",9.85%
"Dec. 31, 2002",8.73%
"Sept. 30, 2002",12.49%
"June 30, 2002",13.28%
"March 31, 2002",8.20%
"Dec. 31, 2001",11.41%
"Sept. 30, 2001",11.13%
"June 30, 2001",12.19%
"March 31, 2001",8.44%
"Dec. 31, 2000",10.25%
"Sept. 30, 2000",9.93%
"June 30, 2000",10.28%
"March 31, 2000",8.64%
"Dec. 31, 1999",9.40%
"Sept. 30, 1999",9.75%
"June 30, 1999",10.29%
"March 31, 1999",8.96%
"Dec. 31, 1998",9.18%
"Sept. 30, 1998",9.53%
"June 30, 1998",9.83%
"March 31, 1998",8.42%
"Dec. 31, 1997",9.45%
"Sept. 30, 1997",9.24%
"June 30, 1997",9.89%
"March 31, 1997",8.39%
"Dec. 31, 1996",9.05%
"Sept. 30, 1996",9.00%
"June 30, 1996",10.09%
"March 31, 1996",8.96%
"Dec. 31, 1995",9.54%
"Sept. 30, 1995",9.39%
"June 30, 1995",9.79%
"March 31, 1995",9.18%
"Dec. 31, 1994",5.77%
"Sept. 30, 1994",8.57%
"June 30, 1994",9.50%
"March 31, 1994",7.62%
"Dec. 31, 1993",8.26%
"Sept. 30, 1993",8.22%
"June 30, 1993",9.16%
"March 31, 1993",9.13%
"Dec. 31, 1992",10.66%
"Sept. 30, 1992",7.33%
"June 30, 1992",8.01%
"March 31, 1992",7.92%
"Dec. 31, 1991",-3.09%
"Sept. 30, 1991",7.29%
"June 30, 1991",7.75%
"March 31, 1991",7.60%
"Dec. 31, 1990",7.30%
"Sept. 30, 1990",7.30%
"June 30, 1990",7.65%
"March 31, 1990",7.64%
"Dec. 31, 1989",7.35%
"Sept. 30, 1989",7.37%
"June 30, 1989",7.24%
"March 31, 1989",7.13%
"Dec. 31, 1988",8.24%
"Sept. 30, 1988",8.76%
"June 30, 1988",9.03%
"March 31, 1988",9.09%
"Dec. 31, 1987",2.93%
"Sept. 30, 1987",7.48%
"June 30, 1987",7.53%
"March 31, 1987",4.13%
"Dec. 31, 1986",5.95%
"Sept. 30, 1986",6.51%
"June 30, 1986",7.86%
"March 31, 1986",9.13%
"Dec. 31, 1985",7.56%
"Sept. 30, 1985",8.82%
"June 30, 1985",8.63%
"March 31, 1985",8.25%
"Dec. 31, 1984",8.17%
"Sept. 30, 1984",8.39%
"June 30, 1984",8.69%
"March 31, 1984",7.37%
