date,earning_yield
"March 19, 2020",-9.72%
"March 18, 2020",-9.55%
"March 17, 2020",-8.90%
"March 16, 2020",-9.46%
"March 13, 2020",-8.03%
"March 12, 2020",-8.71%
"March 11, 2020",-7.67%
"March 10, 2020",-7.12%
"March 9, 2020",-7.67%
"March 6, 2020",-6.70%
"March 5, 2020",-6.25%
"March 4, 2020",-5.75%
"March 3, 2020",-5.79%
"March 2, 2020",-5.62%
"Feb. 28, 2020",-5.79%
"Feb. 27, 2020",-6.06%
"Feb. 26, 2020",-5.75%
"Feb. 25, 2020",-5.57%
"Feb. 24, 2020",-5.31%
"Feb. 21, 2020",-5.14%
"Feb. 20, 2020",-5.03%
"Feb. 19, 2020",-5.00%
"Feb. 18, 2020",-4.94%
"Feb. 14, 2020",-4.91%
"Feb. 13, 2020",-4.87%
"Feb. 12, 2020",-4.79%
"Feb. 11, 2020",-4.90%
"Feb. 10, 2020",-4.88%
"Feb. 7, 2020",-4.91%
"Feb. 6, 2020",-4.86%
"Feb. 5, 2020",-4.90%
"Feb. 4, 2020",-5.01%
"Feb. 3, 2020",-5.14%
"Jan. 31, 2020",-5.06%
"Jan. 30, 2020",-4.95%
"Jan. 29, 2020",-4.87%
"Jan. 28, 2020",-5.37%
"Jan. 27, 2020",-5.51%
"Jan. 24, 2020",-5.38%
"Jan. 23, 2020",-5.35%
"Jan. 22, 2020",-5.54%
"Jan. 21, 2020",-5.40%
"Jan. 17, 2020",-5.33%
"Jan. 16, 2020",-5.32%
"Jan. 15, 2020",-5.31%
"Jan. 14, 2020",-5.24%
"Jan. 13, 2020",-5.20%
"Jan. 10, 2020",-5.40%
"Jan. 9, 2020",-5.29%
"Jan. 8, 2020",-5.28%
"Jan. 7, 2020",-5.23%
"Jan. 6, 2020",-5.19%
"Jan. 3, 2020",-5.26%
"Jan. 2, 2020",-5.28%
"Dec. 31, 2019",-5.65%
"Dec. 30, 2019",-5.60%
"Dec. 27, 2019",-5.55%
"Dec. 26, 2019",-5.52%
"Dec. 24, 2019",-5.54%
"Dec. 23, 2019",-5.56%
"Dec. 20, 2019",-5.62%
"Dec. 19, 2019",-5.62%
"Dec. 18, 2019",-5.66%
"Dec. 17, 2019",-5.59%
"Dec. 16, 2019",-5.55%
"Dec. 13, 2019",-5.47%
"Dec. 12, 2019",-5.42%
"Dec. 11, 2019",-5.65%
"Dec. 10, 2019",-5.63%
"Dec. 9, 2019",-5.64%
"Dec. 6, 2019",-5.59%
"Dec. 5, 2019",-5.75%
"Dec. 4, 2019",-5.69%
"Dec. 3, 2019",-5.64%
"Dec. 2, 2019",-5.56%
"Nov. 29, 2019",-5.50%
"Nov. 27, 2019",-5.49%
"Nov. 26, 2019",-5.46%
"Nov. 25, 2019",-5.35%
"Nov. 22, 2019",-5.37%
"Nov. 21, 2019",-5.38%
"Nov. 20, 2019",-5.44%
"Nov. 19, 2019",-5.39%
"Nov. 18, 2019",-5.42%
"Nov. 15, 2019",-5.38%
"Nov. 14, 2019",-5.49%
"Nov. 13, 2019",-5.49%
"Nov. 12, 2019",-5.43%
"Nov. 11, 2019",-5.46%
"Nov. 8, 2019",-5.38%
"Nov. 7, 2019",-5.49%
"Nov. 6, 2019",-5.63%
"Nov. 5, 2019",-5.65%
"Nov. 4, 2019",-5.67%
"Nov. 1, 2019",-5.97%
"Oct. 31, 2019",-6.21%
"Oct. 30, 2019",-6.13%
"Oct. 29, 2019",-6.84%
"Oct. 28, 2019",-6.84%
"Oct. 25, 2019",-6.89%
"Oct. 24, 2019",-6.93%
"Oct. 23, 2019",-6.78%
"Oct. 22, 2019",-6.84%
"Oct. 21, 2019",-7.05%
"Oct. 18, 2019",-6.92%
"Oct. 17, 2019",-6.86%
"Oct. 16, 2019",-6.97%
"Oct. 15, 2019",-6.97%
"Oct. 14, 2019",-7.11%
"Oct. 11, 2019",-7.05%
"Oct. 10, 2019",-7.34%
"Oct. 9, 2019",-7.43%
"Oct. 8, 2019",-7.49%
"Oct. 7, 2019",-7.24%
"Oct. 4, 2019",-7.23%
"Oct. 3, 2019",-7.12%
"Oct. 2, 2019",-7.29%
"Oct. 1, 2019",-7.20%
"Sept. 30, 2019",-6.94%
"Sept. 27, 2019",-23.89%
"Sept. 26, 2019",-23.95%
"Sept. 25, 2019",-23.58%
"Sept. 24, 2019",-24.08%
"Sept. 23, 2019",-23.13%
"Sept. 20, 2019",-23.05%
"Sept. 19, 2019",-22.93%
"Sept. 18, 2019",-23.03%
"Sept. 17, 2019",-23.08%
"Sept. 16, 2019",-23.03%
"Sept. 13, 2019",-23.13%
"Sept. 12, 2019",-23.33%
