date,one_year_return
"March 19, 2020",-36.41%
"March 18, 2020",-35.29%
"March 17, 2020",-28.92%
"March 16, 2020",-33.13%
"March 13, 2020",-21.66%
"March 12, 2020",-25.92%
"March 11, 2020",-17.07%
"March 10, 2020",-7.62%
"March 9, 2020",-14.30%
"March 6, 2020",3.18%
"March 5, 2020",1.92%
"March 4, 2020",5.49%
"March 3, 2020",5.94%
"March 2, 2020",9.15%
"Feb. 28, 2020",4.72%
"Feb. 27, 2020",-4.50%
"Feb. 26, 2020",2.72%
"Feb. 25, 2020",8.84%
"Feb. 24, 2020",21.32%
"Feb. 21, 2020",27.06%
"Feb. 20, 2020",29.06%
"Feb. 19, 2020",29.50%
"Feb. 18, 2020",31.46%
"Feb. 14, 2020",32.94%
"Feb. 13, 2020",29.81%
"Feb. 12, 2020",37.18%
"Feb. 11, 2020",33.28%
"Feb. 10, 2020",36.91%
"Feb. 7, 2020",32.68%
"Feb. 6, 2020",28.67%
"Feb. 5, 2020",25.86%
"Feb. 4, 2020",28.18%
"Feb. 3, 2020",25.16%
"Jan. 31, 2020",27.48%
"Jan. 30, 2020",45.53%
"Jan. 29, 2020",51.25%
"Jan. 28, 2020",36.65%
"Jan. 27, 2020",29.93%
"Jan. 24, 2020",38.75%
"Jan. 23, 2020",40.26%
"Jan. 22, 2020",36.59%
"Jan. 21, 2020",33.89%
"Jan. 17, 2020",34.42%
"Jan. 16, 2020",37.16%
"Jan. 15, 2020",41.45%
"Jan. 14, 2020",40.62%
"Jan. 13, 2020",41.04%
"Jan. 10, 2020",35.80%
"Jan. 9, 2020",45.77%
"Jan. 8, 2020",45.11%
"Jan. 7, 2020",43.43%
"Jan. 6, 2020",53.46%
"Jan. 3, 2020",54.50%
"Jan. 2, 2020",54.17%
"Dec. 31, 2019",53.37%
"Dec. 30, 2019",53.48%
"Dec. 27, 2019",59.98%
"Dec. 26, 2019",58.09%
"Dec. 24, 2019",68.22%
"Dec. 23, 2019",62.38%
"Dec. 20, 2019",54.23%
"Dec. 19, 2019",49.94%
"Dec. 18, 2019",56.62%
"Dec. 17, 2019",61.50%
"Dec. 16, 2019",63.67%
"Dec. 13, 2019",63.85%
"Dec. 12, 2019",77.36%
"Dec. 11, 2019",68.82%
"Dec. 10, 2019",65.28%
"Dec. 9, 2019",63.10%
"Dec. 6, 2019",57.11%
"Dec. 5, 2019",54.19%
"Dec. 4, 2019",55.76%
"Dec. 3, 2019",46.39%
"Dec. 2, 2019",54.80%
"Nov. 29, 2019",47.66%
"Nov. 27, 2019",57.86%
"Nov. 26, 2019",55.77%
"Nov. 25, 2019",59.14%
"Nov. 22, 2019",53.85%
"Nov. 21, 2019",53.58%
"Nov. 20, 2019",54.89%
"Nov. 19, 2019",52.60%
"Nov. 18, 2019",48.39%
"Nov. 15, 2019",46.69%
"Nov. 14, 2019",41.17%
"Nov. 13, 2019",36.41%
"Nov. 12, 2019",48.69%
"Nov. 11, 2019",37.62%
"Nov. 8, 2019",31.70%
"Nov. 7, 2019",27.66%
"Nov. 6, 2019",21.70%
"Nov. 5, 2019",22.98%
"Nov. 4, 2019",22.40%
"Nov. 1, 2019",12.72%
"Oct. 31, 2019",2.80%
"Oct. 30, 2019",3.32%
"Oct. 29, 2019",-15.45%
"Oct. 28, 2019",-16.50%
"Oct. 25, 2019",-20.65%
"Oct. 24, 2019",-23.49%
"Oct. 23, 2019",-25.07%
"Oct. 22, 2019",-23.87%
"Oct. 21, 2019",-27.19%
"Oct. 18, 2019",-24.71%
