Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Net Income,816.06M,-243.38M,33.33M,310.56M,938.98M,-414.54M,244.65M,271.43M,239.30M,577.85M,-82.97M,261.34M,231.06M,267.20M,205.53M,246.03M,-301.27M,237.80M,209.39M,255.13M,223.49M,236.49M,129.25M,237.84M,179.28M,211.38M,173.06M,229.97M,176.60M,209.51M,46.22M,100.76M,114.78M,91.43M,78.72M,115.58M,131.22M,101.94M,160.95M,,86.11M,66.18M,84.24M,99.06M,73.29M,74.08M,59.24M,59.78M,72.71M,50.12M,48.55M,75.09M,346.99M,111.45M,22.24M,-10.11M,-13.57M,-94.49M,-27.70M,-117.72M,38.62M,-7.908M,23.99M,67.44M,-8.51M,45.37M,28.26M,61.59M,57.42M,49.96M,30.25M,20.03M,51.09M,35.64M,49.17M,137.30M,55.70M,68.30M,16.12M,79.34M,-10.40M,36.85M,6.153M,24.40M,-133.90M,11.10M,13.10M,-10.60M,-29.80M,-44.50M,-56.50M,25.40M,-67.90M,9.70M,19.90M,73.90M,72.60M,98.10M,50.70M,100.40M,75.50M,76.00M,71.90M,106.50M
Pension and Employee Expense,-85.06M,-21.30M,2.851M,3.728M,-190.56M,176.79M,-2.476M,-173.21M,-39.34M,-160.52M,19.39M,-39.87M,-28.60M,-46.96M,-24.47M,-18.80M,92.83M,-108.48M,17.56M,-0.164M,-112.21M,-7.303M,-11.46M,18.37M,45.01M,-166.34M,-31.21M,6.054M,0.426M,-9.998M,-10.27M,-56.64M,-1.987M,-88.24M,3.893M,28.23M,16.52M,-28.82M,2.198M,23.33M,11.38M,-2.855M,6.349M,6.703M,12.64M,-5.787M,-4.454M,-2.401M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,-85.06M,-21.30M,2.851M,3.728M,-190.56M,176.79M,-2.476M,-173.21M,-39.34M,-160.52M,19.39M,-39.87M,-28.60M,-46.96M,-24.47M,-18.80M,92.83M,-108.48M,17.56M,-0.164M,-112.21M,-7.303M,-11.46M,18.37M,45.01M,-166.34M,-31.21M,6.054M,0.426M,-9.998M,-10.27M,-56.64M,-1.987M,-88.24M,3.893M,28.23M,4.707M,-28.82M,2.198M,23.33M,11.38M,-2.855M,6.349M,6.703M,12.64M,-5.787M,-4.454M,-2.401M,28.14M,-58.87M,39.54M,,46.37M,71.89M,-46.42M,-167.88M,-10.76M,18.05M,69.83M,119.99M,-252.31M,132.59M,-4.516M,-33.59M,158.11M,2.389M,-32.08M,10.02M,174.74M,-69.05M,24.79M,48.78M,-59.28M,36.25M,64.42M,-786.14M,-108.41M,-19.74M,59.79M,-32.88M,-358.50M,-48.05M,44.15M,45.30M,34.40M,110.50M,10.00M,69.20M,-71.60M,20.00M,1.10M,1.00M,-90.70M,33.00M,37.60M,166.00M,-150.00M,45.50M,-45.80M,63.50M,-52.80M,58.80M,-45.50M,-10.70M
Depreciation Expense,815.56M,-364.31M,219.08M,214.95M,750.41M,-333.88M,199.14M,204.27M,202.65M,435.46M,-51.11M,186.80M,183.68M,181.29M,176.51M,173.99M,-255.26M,167.88M,163.67M,163.84M,158.43M,153.21M,152.21M,150.81M,147.14M,149.10M,159.55M,154.98M,149.21M,144.47M,144.48M,80.84M,79.41M,75.20M,73.64M,73.95M,72.05M,70.95M,79.08M,78.66M,77.79M,77.07M,77.77M,76.98M,72.80M,69.72M,68.32M,67.75M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,195.38M,-109.91M,38.94M,70.96M,252.03M,-81.40M,36.20M,45.19M,31.93M,58.06M,-24.02M,24.02M,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.327M,8.327M,-5.879M,10.54M,-13.04M,21.69M,54.21M,61.39M,41.94M,28.86M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,1.011B,-474.22M,258.03M,285.91M,1.002B,-415.28M,235.34M,249.46M,234.58M,493.52M,-75.13M,210.82M,255.38M,181.29M,176.51M,173.99M,-255.26M,167.88M,163.67M,163.84M,158.43M,153.21M,152.21M,150.81M,147.14M,149.10M,159.55M,154.98M,149.21M,144.47M,144.48M,80.84M,79.41M,75.20M,73.64M,73.95M,72.05M,70.95M,87.40M,70.33M,71.91M,87.62M,64.73M,98.67M,127.01M,131.10M,110.27M,96.61M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total Depreciation, Amortization, Depletion",1.011B,-474.22M,258.03M,285.91M,1.002B,-415.28M,235.34M,249.46M,234.58M,493.52M,-75.13M,210.82M,255.38M,181.29M,176.51M,173.99M,-255.26M,167.88M,163.67M,163.84M,158.43M,153.21M,152.21M,150.81M,147.14M,149.10M,159.55M,154.98M,149.21M,144.47M,144.48M,80.84M,79.41M,75.20M,73.64M,73.95M,72.05M,70.95M,87.40M,70.33M,71.91M,87.62M,64.73M,98.67M,127.01M,131.10M,110.27M,96.61M,-58.03M,129.18M,104.58M,130.24M,281.22M,-81.15M,145.87M,118.03M,199.03M,175.73M,153.94M,127.98M,166.73M,88.32M,135.95M,137.05M,143.38M,157.46M,96.29M,152.24M,-171.80M,165.04M,71.73M,140.67M,129.51M,138.07M,135.99M,780.48M,155.44M,129.14M,113.77M,117.58M,943.30M,-283.05M,283.05M,,,,,,,,,,,,,,,,,,,,,
Deferred Taxes,196.85M,-23.58M,18.45M,18.08M,163.34M,-150.41M,73.40M,88.48M,116.77M,282.64M,-49.18M,141.40M,165.05M,50.56M,109.72M,141.13M,59.23M,-23.45M,28.61M,148.19M,378.50M,-68.39M,-4.268M,137.42M,97.19M,77.93M,87.36M,168.94M,105.82M,126.67M,7.035M,52.47M,63.23M,38.24M,42.86M,52.43M,105.87M,67.22M,4.602M,33.25M,48.27M,4.415M,56.02M,17.18M,55.68M,-21.87M,23.99M,29.01M,48.08M,-30.99M,-14.51M,4.353M,-334.64M,-38.09M,-3.053M,171.58M,-80.78M,-29.56M,-76.15M,-16.31M,46.58M,30.66M,14.45M,20.03M,-74.00M,-45.35M,12.08M,-22.47M,-95.12M,-1.118M,-30.29M,-22.80M,24.76M,-20.96M,105.95M,-226.45M,12.21M,-10.29M,-7.64M,-10.40M,-152.80M,-26.64M,13.54M,-17.50M,-21.40M,37.20M,17.90M,-10.20M,26.80M,-20.00M,-12.30M,27.90M,18.30M,19.00M,16.60M,-8.20M,60.20M,18.80M,55.90M,29.30M,63.10M,13.80M,33.80M,35.90M
Amortization of Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-138.70M,53.84M,33.17M,51.69M,-225.91M,110.78M,55.56M,59.57M,54.07M,56.67M,51.30M,55.90M,56.39M,53.28M,44.61M,50.58M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asset Impairment Charge,239.64M,-239.64M,239.64M,,0.00,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.186M,3.186M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Noncash Items,-225.38M,20.92M,24.76M,-37.98M,-177.31M,54.68M,-52.82M,15.49M,-226.09M,20.53M,-22.90M,20.56M,-226.41M,185.66M,74.01M,-78.31M,-299.18M,87.27M,9.405M,-62.04M,-231.26M,101.94M,283.85M,51.20M,-9.948M,124.30M,11.75M,154.60M,-152.62M,102.25M,64.42M,-9.28M,114.17M,-97.96M,-13.84M,38.99M,288.00M,2.839M,-72.97M,59.20M,2.98M,26.76M,49.34M,-32.07M,-88.50M,8.571M,-59.85M,-109.58M,-104.09M,99.18M,-11.81M,-38.58M,-178.39M,70.12M,26.43M,-19.08M,93.02M,,20.34M,-20.34M,,,,,,,,,,,,,,,,,,,,,-489.70M,489.70M,-193.90M,193.90M,-343.00M,96.00M,106.60M,140.40M,104.60M,172.10M,101.30M,103.50M,157.80M,102.60M,103.70M,105.30M,214.50M,102.70M,99.80M,101.90M,100.40M,81.30M,103.00M,105.80M
Change in Receivables,-133.26M,18.94M,28.92M,-29.44M,-187.31M,164.03M,-23.97M,-161.95M,-46.25M,-25.76M,25.08M,-17.94M,-64.60M,3.12M,8.183M,145.14M,-189.48M,144.01M,146.87M,-56.28M,-405.43M,80.54M,121.59M,-242.06M,-87.46M,32.54M,-8.853M,-150.73M,-24.29M,-102.48M,60.07M,41.03M,-103.86M,41.44M,103.12M,26.51M,-141.39M,-22.85M,33.47M,-2.619M,-31.62M,-27.23M,139.45M,10.48M,-131.52M,-46.12M,68.27M,-32.51M,-108.89M,-12.74M,57.20M,-0.95M,-53.40M,336.28M,-35.62M,358.11M,-239.71M,-89.38M,192.77M,-72.20M,-113.47M,-65.82M,94.83M,-19.52M,-121.47M,-12.81M,99.03M,74.56M,-131.40M,22.11M,-95.12M,102.24M,-172.80M,91.94M,-48.46M,-227.55M,-41.99M,24.38M,-39.07M,-48.19M,87.80M,-55.42M,-94.68M,-44.30M,-50.70M,141.60M,10.50M,-164.00M,130.50M,7.00M,53.30M,71.60M,-81.20M,-3.10M,46.90M,5.40M,-86.00M,-33.20M,38.60M,8.50M,-26.80M,10.00M,40.70M,-15.80M
Change in Inventories,-21.62M,-50.37M,102.98M,-39.06M,-15.39M,-51.05M,92.56M,-26.96M,-32.91M,-6.37M,63.11M,-33.06M,-17.67M,-18.50M,66.68M,-22.75M,-47.36M,-12.66M,-8.128M,68.17M,-14.16M,-53.78M,-48.41M,75.04M,-1.677M,-24.10M,-17.52M,28.49M,1.434M,-7.808M,10.59M,30.11M,-6.961M,-17.06M,-30.00M,42.99M,4.789M,-18.69M,3.593M,48.43M,7.057M,-16.68M,-15.59M,51.17M,-14.98M,-41.61M,-73.11M,55.16M,23.55M,-45.15M,-46.70M,34.56M,1.887M,-18.28M,-17.62M,50.73M,16.13M,-42.12M,-33.80M,41.94M,17.58M,-48.74M,-31.54M,31.59M,6.325M,-36.34M,-12.83M,8.622M,-4.305M,-11.07M,-11.85M,-0.368M,-4.95M,-0.983M,-8.388M,69.52M,7.542M,0.313M,2.876M,1.719M,29.70M,-4.323M,4.323M,,,,,,,,,,,,,,,,,,,,,
Change in Payables and Accrued Expense,26.97M,143.98M,-142.52M,-13.56M,28.31M,76.23M,-18.49M,-61.57M,152.62M,52.22M,-91.07M,-57.70M,107.39M,30.48M,-75.68M,-76.32M,228.15M,-5.484M,-168.68M,-59.50M,214.19M,43.51M,-166.86M,53.90M,57.89M,14.87M,-40.46M,-86.92M,79.97M,-31.78M,13.70M,-190.23M,-47.70M,90.60M,5.297M,-29.28M,15.25M,-6.121M,-7.292M,-46.19M,34.00M,-30.73M,-36.95M,-174.50M,194.64M,-37.95M,-2.736M,-17.91M,41.92M,-24.16M,-25.49M,-41.82M,61.80M,-52.55M,-153.44M,-255.19M,80.24M,62.66M,-76.56M,64.70M,134.32M,-71.80M,-84.57M,118.83M,-41.67M,134.04M,-34.75M,-88.48M,216.39M,-85.10M,152.38M,-120.12M,34.72M,-50.66M,32.21M,114.29M,57.57M,-66.10M,110.02M,69.66M,11.90M,-145.02M,161.12M,-19.30M,81.70M,-15.80M,-42.50M,-87.70M,80.60M,-37.20M,31.40M,-179.10M,217.50M,-31.50M,71.80M,-69.70M,91.90M,-7.90M,16.20M,-62.10M,82.70M,-7.20M,-13.50M,-10.20M
Change in Other Current Assets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.49M,-14.63M,8.68M,-1.541M,18.96M,-25.39M,-48.03M,28.67M,43.89M,-13.66M,40.05M,-32.88M,34.82M,31.20M,-63.97M,56.30M,83.68M,-59.57M,-183.68M,92.61M,44.64M,-95.86M,16.91M,-31.82M,15.24M,-56.92M,51.54M,-82.78M,36.76M,-7.482M,7.482M,,,-57.55M,57.55M,,107.28M,-97.81M,,,76.50M,-2.00M,-2.90M,2.90M,6.70M,1.40M,-2.00M,4.00M,0.80M,9.90M,-4.40M,-7.60M,-8.30M,7.60M,-9.00M,-1.10M,6.90M,-5.40M,-6.20M,-5.80M,11.10M,-1.00M,-4.70M,-0.50M
Change in Other Current Liabilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-13.34M,43.64M,-6.514M,-23.80M,2.063M,19.43M,20.41M,-41.90M,19.01M,-12.00M,25.44M,-48.11M,-16.46M,26.00M,-11.72M,-15.35M,-196.59M,134.49M,40.20M,-22.92M,56.68M,-26.78M,15.72M,22.69M,66.02M,24.12M,-68.55M,69.34M,-49.57M,49.57M,3.967M,-3.967M,-62.55M,62.55M,,,,-41.69M,14.81M,26.88M,-185.60M,72.14M,9.358M,104.10M,-84.90M,-191.30M,49.70M,310.30M,,,,,,,,,,,,,5.60M,8.20M,-10.50M,-3.30M
Change in Other Working Cap,-18.36M,146.86M,-69.86M,-70.24M,50.38M,79.07M,-27.77M,-23.46M,121.68M,26.21M,-16.15M,-40.20M,66.81M,19.08M,-62.00M,-10.16M,41.91M,-0.856M,-24.95M,34.18M,36.40M,21.15M,-53.04M,11.28M,59.14M,-11.74M,-37.79M,-32.24M,28.68M,44.75M,-24.66M,-40.24M,21.99M,11.21M,12.65M,-33.28M,-11.50M,25.16M,23.39M,-19.59M,-50.32M,59.64M,-32.69M,32.69M,-76.98M,36.73M,48.66M,-20.96M,-51.57M,24.73M,12.26M,-348.53M,339.28M,-289.75M,307.71M,-244.41M,156.63M,,8.635M,-8.635M,-50.88M,,-14.59M,14.59M,-10.77M,37.14M,-53.08M,-56.91M,89.54M,7.003M,-27.09M,56.52M,-34.22M,20.84M,-405.39M,370.82M,-83.39M,162.72M,-117.58M,-89.61M,51.90M,106.16M,-70.36M,20.40M,10.50M,-20.30M,-59.20M,47.00M,-22.80M,29.40M,-8.60M,4.50M,-61.90M,27.50M,-84.40M,29.20M,-43.30M,74.90M,-48.00M,26.10M,-12.00M,34.10M,-35.70M,52.90M
