Assets (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03
Cash,15.43M,22.69M,20.58M,35.14M,108.07M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Equivalents,15.43M,22.69M,20.58M,35.14M,108.07M,59.09M,64.15M,303.81M,38.16M,125.76M,24.64M,45.76M,30.25M,40.06M,38.73M,50.97M,23.95M,35.78M,36.47M,71.03M,38.70M,41.71M,34.10M,89.15M,43.36M,57.94M,36.06M,60.82M,45.75M,73.45M,28.48M,283.38M,6.559M,16.72M,15.11M,15.36M,23.40M,41.18M,88.78M,30.01M,26.95M,248.98M,481.15M,416.83M,89.82M,82.82M,12.13M,24.97M,15.10M,207.65M,138.82M,214.73M,481.91M,50.46M,48.74M,36.27M,45.78M,86.19M,55.48M,74.02M,46.99M,97.85M,75.26M,76.05M,43.37M,118.14M,57.03M,98.96M,54.68M,70.73M,94.02M,106.81M,96.66M,130.91M,197.65M,1.472B,200.02M,237.97M,301.64M,369.74M,255.20M,335.40M,220.30M,335.70M,136.20M,160.90M,131.10M,268.70M,143.40M,213.10M,137.60M,261.40M,194.20M,238.90M,275.80M,130.00M,29.00M,51.20M,31.30M,24.70M,34.60M,21.70M,30.50M,34.30M
Short Term Investments,,,,,,,,,,,,,,,,,,119.70M,124.83M,,,114.72M,115.99M,,,,,99.12M,,81.62M,79.23M,62.70M,70.97M,74.52M,74.68M,79.34M,78.31M,79.97M,101.57M,81.96M,66.24M,83.16M,79.98M,85.52M,109.82M,,,,484.52M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash and Short Term Investments,15.43M,22.69M,20.58M,35.14M,108.07M,59.09M,64.15M,303.81M,38.16M,125.76M,24.64M,45.76M,30.25M,40.06M,38.73M,50.97M,23.95M,155.48M,161.30M,71.03M,38.70M,156.43M,150.08M,89.15M,43.36M,57.94M,36.06M,159.93M,45.75M,155.07M,107.71M,346.08M,77.53M,91.25M,89.79M,94.70M,101.70M,121.15M,190.35M,111.97M,93.19M,332.13M,561.13M,502.35M,199.64M,82.82M,12.13M,24.97M,499.62M,207.65M,138.82M,214.73M,481.91M,50.46M,48.74M,36.27M,45.78M,86.19M,55.48M,74.02M,46.99M,97.85M,75.26M,76.05M,43.37M,118.14M,57.03M,98.96M,54.68M,70.73M,94.02M,106.81M,96.66M,130.91M,197.65M,1.472B,200.02M,237.97M,301.64M,369.74M,255.20M,335.40M,220.30M,335.70M,136.20M,160.90M,131.10M,268.70M,143.40M,213.10M,137.60M,261.40M,194.20M,238.90M,275.80M,130.00M,29.00M,51.20M,31.30M,24.70M,34.60M,21.70M,30.50M,34.30M
Accounts Receivable,989.38M,993.40M,964.31M,1.140B,994.06M,1.092B,967.59M,1.086B,925.08M,919.96M,833.94M,879.45M,847.30M,963.28M,806.34M,890.98M,775.48M,928.06M,903.58M,1.131B,856.35M,848.51M,807.51M,980.03M,765.39M,784.50M,789.41M,832.99M,792.82M,773.42M,661.91M,485.77M,488.00M,494.55M,470.92M,540.13M,523.64M,526.28M,495.64M,570.87M,512.77M,591.47M,557.59M,695.60M,698.76M,623.83M,584.49M,438.38M,401.28M,326.90M,309.98M,362.72M,361.20M,331.84M,439.73M,544.55M,901.52M,763.98M,700.69M,833.32M,771.26M,656.38M,648.66M,727.38M,704.89M,637.04M,626.44M,702.67M,767.09M,665.20M,844.22M,734.00M,659.76M,699.06M,784.05M,702.57M,472.86M,479.96M,488.43M,448.36M,310.20M,332.30M,342.50M,226.20M,237.20M,194.00M,165.80M,187.20M,214.90M,365.40M,361.70M,411.40M,477.00M,419.50M,396.70M,451.40M,435.90M,365.20M,325.40M,360.60M,357.30M,362.50M,348.90M,401.20M
Total Receivables,1.170B,1.144B,1.119B,1.300B,1.170B,1.262B,1.284B,1.250B,1.126B,1.067B,992.13M,1.046B,1.016B,1.156B,1.114B,1.127B,1.283B,1.138B,1.227B,1.461B,1.405B,1.030B,1.001B,1.183B,1.007B,958.60M,982.94M,1.029B,1.009B,956.06M,864.17M,621.66M,663.21M,632.86M,674.42M,793.33M,822.12M,678.20M,674.48M,732.74M,769.70M,755.94M,728.56M,893.71M,917.20M,817.52M,779.91M,532.69M,516.99M,397.42M,386.72M,443.45M,449.37M,394.82M,518.65M,716.74M,1.077B,874.63M,814.81M,978.86M,915.70M,755.79M,751.26M,844.50M,830.77M,732.54M,719.73M,818.76M,893.32M,761.92M,950.50M,855.38M,786.16M,778.02M,869.96M,821.50M,593.95M,551.96M,576.34M,537.27M,385.90M,332.30M,342.50M,226.20M,237.20M,194.00M,165.80M,187.20M,214.90M,365.40M,361.70M,411.40M,477.00M,419.50M,396.70M,451.40M,435.90M,365.20M,325.40M,360.60M,357.30M,362.50M,348.90M,401.20M
Other Inventory,75.90M,,,,78.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inventories,235.50M,204.01M,174.12M,277.10M,238.00M,192.51M,171.60M,264.17M,223.06M,305.04M,286.30M,361.78M,328.72M,311.05M,292.55M,359.22M,336.48M,302.22M,289.56M,281.49M,349.66M,333.87M,281.72M,228.19M,303.23M,304.70M,280.60M,239.23M,267.71M,267.28M,262.56M,219.09M,248.96M,237.79M,230.75M,202.56M,244.04M,247.25M,226.20M,229.84M,277.08M,281.41M,258.73M,235.72M,300.05M,270.38M,228.77M,155.69M,210.85M,231.16M,186.02M,139.32M,173.88M,175.89M,159.12M,134.74M,206.56M,204.79M,177.04M,143.24M,185.18M,202.76M,154.46M,122.49M,154.08M,160.40M,124.06M,111.23M,119.85M,131.94M,120.73M,108.88M,108.52M,103.57M,102.58M,94.20M,163.71M,171.25M,171.57M,174.44M,173.00M,204.70M,198.30M,199.70M,202.70M,209.30M,210.70M,208.70M,212.70M,213.60M,223.40M,219.00M,211.40M,203.00M,210.60M,201.60M,200.60M,207.50M,202.10M,195.90M,190.10M,201.20M,200.20M,195.50M
Prepaid Expenses,342.14M,312.25M,302.50M,181.72M,261.00M,203.43M,107.38M,210.53M,138.01M,159.94M,157.36M,182.66M,215.28M,155.61M,106.56M,133.81M,129.03M,117.86M,62.88M,231.95M,226.19M,135.50M,168.02M,292.54M,197.66M,222.70M,174.48M,104.45M,199.95M,112.96M,95.16M,94.74M,112.63M,130.01M,100.76M,95.35M,100.44M,178.74M,121.84M,151.64M,96.10M,110.12M,77.38M,115.39M,88.68M,,,,58.79M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Current Assets,651.08M,538.16M,515.26M,507.26M,514.82M,436.70M,590.90M,683.21M,741.87M,746.14M,870.39M,875.04M,887.62M,752.38M,863.36M,919.31M,845.84M,653.89M,709.66M,747.35M,672.49M,445.96M,467.16M,573.03M,535.79M,474.20M,577.01M,625.54M,705.02M,647.62M,624.40M,241.90M,255.14M,235.46M,242.14M,221.03M,238.70M,10.65M,,17.38M,31.78M,,,,,203.54M,372.88M,587.84M,,579.40M,594.06M,660.65M,625.89M,1.569B,1.596B,1.787B,1.046B,1.583B,754.12M,782.01M,571.86M,748.72M,882.50M,900.96M,519.30M,522.33M,526.86M,533.32M,463.36M,447.36M,219.66M,219.34M,484.84M,253.24M,218.87M,226.07M,192.67M,399.38M,398.16M,296.38M,256.50M,304.30M,306.40M,306.30M,356.80M,300.40M,276.80M,295.00M,399.70M,213.80M,235.20M,215.40M,184.30M,158.50M,182.40M,190.40M,250.00M,265.00M,193.50M,184.20M,197.60M,184.10M,200.30M,162.70M
