Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,2.027B,2.176B,1.884B,2.416B,2.013B,2.271B,1.854B,2.288B,1.895B,1.989B,1.763B,2.105B,1.799B,2.040B,1.767B,2.056B,1.705B,1.933B,1.817B,2.513B,1.828B,1.893B,1.678B,2.291B,1.673B,1.893B,1.636B,1.995B,1.561B,1.862B,1.629B,1.100B,1.012B,1.115B,1.047B,1.235B,1.204B,1.243B,1.111B,1.339B,1.315B,1.306B,1.224B,1.593B,1.448B,1.507B,1.325B,1.520B,1.275B,1.451B,1.392B,1.704B,1.476B,1.593B,1.661B,2.147B,1.827B,1.755B,1.532B,2.233B,1.633B,1.624B,1.525B,1.838B,1.515B,1.640B,1.330B,1.584B,1.467B,1.361B,1.673B,1.284B,1.299B,1.531B,1.583B,1.801B,1.497B,1.582B,1.415B,1.382B,1.149B,1.240B,1.039B,1.043B,959.60M,974.40M,874.80M,958.90M,979.00M,977.10M,903.30M,975.40M,936.50M,955.50M,871.90M,1.028B,980.50M,985.10M,840.30M,944.70M,898.20M,923.70M,854.60M,966.20M,901.90M,915.20M,853.80M,958.20M,867.70M,867.70M,718.70M,762.70M,722.80M,692.70M,637.00M,701.30M,891.30M,600.90M,526.40M,597.70M,574.10M,562.40M,510.20M,559.60M,527.90M,543.90M,469.90M,537.50M,346.90M,499.10M,491.70M,540.30M,513.20M,471.80M,497.20M,549.90M,534.00M,477.10M,479.00M,590.90M,529.20M,500.50M,482.10M,583.50M
Revenue,2.050B,2.176B,1.884B,2.416B,2.035B,2.271B,1.854B,2.288B,1.895B,1.989B,1.763B,2.105B,1.777B,2.040B,1.767B,2.056B,1.691B,1.933B,1.817B,2.513B,1.881B,1.893B,1.678B,2.291B,1.778B,1.893B,1.636B,1.995B,1.684B,1.862B,1.629B,1.100B,1.068B,1.115B,1.047B,1.235B,1.204B,1.243B,1.111B,1.339B,1.315B,1.306B,1.224B,1.593B,1.448B,1.507B,1.325B,1.520B,1.275B,1.451B,1.392B,1.704B,1.476B,1.593B,1.661B,2.147B,1.827B,1.755B,1.532B,2.233B,1.633B,1.624B,1.525B,1.838B,1.515B,1.640B,1.330B,1.584B,1.467B,1.361B,1.673B,1.284B,1.299B,1.531B,1.583B,1.801B,1.497B,1.582B,1.415B,1.382B,1.149B,1.240B,1.039B,1.043B,959.60M,974.40M,874.80M,958.90M,979.00M,977.10M,903.30M,975.40M,936.50M,955.50M,871.90M,1.028B,980.50M,985.10M,840.30M,944.70M,898.20M,923.70M,854.60M,966.20M,901.90M,915.20M,853.80M,958.20M,867.70M,867.70M,718.70M,762.70M,722.80M,692.70M,637.00M,701.30M,891.30M,600.90M,526.40M,597.70M,574.10M,562.40M,510.20M,559.60M,527.90M,543.90M,469.90M,537.50M,346.90M,499.10M,491.70M,540.30M,513.20M,471.80M,497.20M,549.90M,534.00M,477.10M,479.00M,590.90M,529.20M,500.50M,482.10M,583.50M
Cost of Goods Sold,1.083B,1.061B,948.91M,1.310B,1.060B,1.187B,947.77M,1.279B,930.92M,959.55M,859.90M,1.092B,875.45M,990.54M,901.97M,1.075B,889.08M,1.030B,1.002B,1.495B,1.061B,1.061B,997.44M,1.330B,1.026B,1.033B,845.47M,1.094B,939.85M,998.28M,1.072B,657.31M,1.368B,441.49M,412.51M,474.11M,1.496B,494.12M,648.89M,603.35M,595.47M,611.63M,583.60M,838.92M,976.51M,1.033B,898.90M,1.109B,1.555B,881.23M,804.80M,1.070B,930.91M,1.046B,1.110B,1.537B,1.706B,1.173B,979.92M,1.669B,1.204B,1.107B,912.42M,1.176B,968.89M,1.034B,767.00M,965.04M,914.98M,797.50M,1.158B,726.62M,754.80M,985.06M,1.010B,1.167B,800.68M,918.78M,816.16M,768.37M,547.70M,592.80M,377.40M,380.40M,,,306.10M,,,,276.90M,,320.20M,308.10M,199.70M,311.70M,228.30M,242.90M,200.30M,237.60M,203.90M,220.70M,182.20M,225.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,967.84M,1.114B,935.58M,1.105B,974.61M,1.085B,906.08M,1.009B,964.57M,1.029B,902.91M,1.013B,901.13M,1.049B,865.21M,980.64M,802.12M,903.18M,815.30M,1.018B,820.03M,831.81M,680.17M,960.75M,751.74M,860.01M,790.39M,901.12M,744.11M,863.25M,556.69M,442.32M,-300.06M,673.40M,634.97M,761.14M,-292.16M,749.21M,462.53M,736.07M,719.88M,694.54M,640.83M,754.56M,471.37M,473.62M,426.44M,410.77M,-280.64M,569.85M,587.25M,633.03M,545.54M,546.60M,551.39M,610.19M,120.27M,581.86M,551.69M,563.80M,428.87M,517.37M,612.25M,662.07M,545.93M,606.45M,563.04M,619.14M,551.93M,563.55M,514.87M,557.85M,543.76M,545.60M,573.42M,633.57M,696.70M,663.17M,598.81M,613.95M,601.10M,647.70M,661.17M,663.00M,,,568.70M,,,,626.40M,,616.30M,647.40M,672.20M,716.50M,752.20M,742.20M,640.00M,707.10M,694.30M,703.00M,672.40M,740.60M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income Statement Depreciation,228.65M,222.60M,219.08M,214.95M,207.85M,208.67M,199.14M,204.27M,202.65M,194.47M,189.88M,186.80M,183.68M,181.29M,176.51M,173.99M,170.47M,167.88M,163.67M,163.84M,158.43M,153.21M,152.21M,150.81M,147.14M,149.10M,159.55M,154.98M,149.21M,144.48M,144.48M,80.84M,79.41M,75.20M,73.64M,73.95M,72.05M,70.95M,79.08M,78.66M,77.79M,77.07M,77.77M,76.98M,72.80M,69.72M,68.32M,67.75M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense,11.62M,73.85M,38.94M,70.96M,77.92M,92.71M,36.20M,45.19M,31.93M,41.85M,7.807M,24.02M,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.327M,-5.879M,10.54M,13.04M,21.69M,54.21M,61.39M,41.94M,28.86M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,0.00,0.00,-239.64M,,0.00,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,1.43M,7.334M,10.31M,,10.12M,1.552M,8.057M,11.72M,9.49M,10.41M,3.382M,8.818M,17.68M,10.37M,13.56M,24.96M,10.73M,11.87M,14.07M,25.94M,12.08M,12.16M,16.20M,26.57M,11.77M,10.29M,5.906M,15.15M,5.977M,2.862M,1.687M,-6.443M,4.678M,0.754M,0.576M,24.11M,32.06M,1.653M,-14.00M,638.94M,17.72M,7.673M,0.807M,-13.65M,16.28M,-0.49M,2.847M,-76.30M,-24.90M,2.10M,2.00M,,,-0.20M,,,,6.90M,,19.00M,11.20M,14.80M,10.00M,19.70M,12.50M,7.90M,8.30M,21.30M,10.40M,22.90M,21.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,173.40M,171.96M,181.08M,184.59M,182.60M,187.29M,177.43M,182.43M,197.11M,168.19M,156.23M,155.22M,154.85M,164.94M,154.33M,159.95M,151.35M,150.80M,138.94M,149.48M,139.52M,141.53M,134.80M,145.53M,120.38M,135.50M,123.46M,132.88M,114.65M,120.66M,112.86M,86.04M,70.79M,84.99M,79.42M,88.40M,70.31M,84.43M,74.41M,85.60M,65.55M,75.80M,54.42M,86.43M,67.43M,69.03M,59.28M,71.83M,58.75M,63.48M,57.36M,72.59M,57.53M,62.18M,54.44M,76.42M,59.51M,60.64M,53.21M,74.19M,42.76M,55.20M,55.70M,77.59M,54.07M,53.17M,51.46M,73.97M,50.48M,47.58M,54.86M,74.60M,48.46M,39.65M,55.20M,75.89M,59.73M,59.17M,61.32M,58.36M,59.30M,70.60M,60.90M,70.60M,,,61.30M,,,,59.70M,,60.10M,64.80M,61.40M,71.30M,61.30M,63.40M,59.00M,65.80M,56.40M,63.60M,59.90M,67.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,133.54M,135.22M,132.70M,131.73M,126.07M,125.20M,126.40M,121.13M,102.28M,108.72M,107.33M,103.43M,102.39M,99.86M,100.49M,98.21M,92.78M,92.53M,92.26M,94.84M,89.90M,89.74M,92.50M,89.98M,88.12M,87.48M,86.85M,76.26M,84.09M,90.36M,89.05M,66.45M,65.71M,63.93M,62.23M,61.40M,51.30M,65.90M,67.20M,67.26M,68.07M,69.64M,64.96M,70.98M,69.55M,70.90M,66.06M,62.64M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00M,0.80M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
