Cash Flow - Operations (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03
Net Income,-91.27M,158.33M,98.82M,22.92M,47.61M,56.13M,-25.18M,90.58M,-526.84M,-66.32M,-17.35M,57.50M,-62.78M,-14.58M,2.905M,-199.48M,-583.23M,-1.587B,-88.99M,3.53M,441.96M,271.06M,142.67M,169.29M,180.49M,265.08M,259.89M,182.68M,88.21M,145.54M,291.31M,281.44M,-308.23M,328.97M,280.02M,238.44M,119.00M,208.90M,272.29M,148.89M,319.56M,188.88M,160.84M,71.24M,133.01M,585.02M,618.52M,408.21M,206.12M,199.54M,250.24M,110.63M,88.37M,228.35M,211.96M,115.98M,154.56M,222.40M,347.79M,113.15M,131.79M,115.77M,168.14M,80.70M,35.88M,87.32M,61.11M,94.10M,35.54M,35.28M,14.13M,2.331M,26.30M,41.73M,162.57M,97.84M,86.23M,90.11M,73.04M,49.14M,59.50M,51.20M,15.70M,-6.70M,-61.20M,9.10M,22.20M,15.50M,31.90M,42.30M,27.60M,30.60M,43.50M,42.30M,28.10M,24.00M,-162.80M,7.60M,20.60M,16.00M,18.10M,37.30M,27.50M,23.70M,20.10M,20.10M,22.80M,23.80M,25.30M,14.70M,27.50M,19.20M,25.90M,43.50M,-105.10M,24.50M,17.90M,37.50M,28.60M,17.90M
Gain and Loss on Sale of PPE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.585M,-3.585M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gain (Loss) on Investment Securities,133.44M,-49.24M,-50.83M,,-35.02M,-26.02M,12.74M,14.35M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Gains Losses,133.58M,-49.60M,-50.83M,-0.012M,-35.07M,-26.15M,12.52M,14.69M,-10.42M,-0.117M,1.334M,-131.98M,1.438M,0.73M,-3.809M,-0.022M,0.028M,-0.06M,-18.25M,-135.88M,-144.03M,0.133M,5.016M,-0.019M,-0.175M,0.038M,0.266M,-0.042M,-0.135M,0.194M,-0.035M,-0.09M,-118.54M,118.52M,-23.08M,-0.053M,-35.93M,35.83M,-0.113M,-0.676M,-62.76M,18.43M,-31.00M,71.63M,-51.31M,43.94M,14.18M,4.186M,-31.60M,60.03M,18.69M,22.68M,-28.89M,-1.192M,-2.846M,43.73M,73.37M,5.165M,-165.56M,50.68M,16.90M,15.05M,14.30M,16.66M,4.714M,10.24M,-48.17M,12.84M,41.09M,14.66M,46.82M,19.85M,19.68M,20.28M,-69.45M,21.97M,31.80M,34.60M,4.857M,24.79M,-17.10M,11.90M,7.20M,1.10M,60.80M,8.20M,17.40M,16.60M,28.50M,26.60M,21.40M,25.00M,91.00M,-19.90M,11.20M,14.60M,-20.20M,45.10M,0.90M,-0.40M,-26.90M,2.20M,-7.30M,8.40M,1.50M,-6.30M,53.20M,-27.80M,-0.20M,30.40M,36.00M,1.70M,-133.20M,-1.90M,120.70M,14.40M,111.40M,-20.30M,-85.50M,22.60M
Depreciation Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-637.74M,245.54M,392.20M,,,,,,152.82M,114.29M,114.74M,107.99M,97.32M,87.18M,102.21M,97.36M,89.31M,93.77M,109.04M,104.75M,82.94M,75.59M,82.71M,80.20M,21.13M,121.42M,40.50M,75.80M,-22.21M,64.37M,85.66M,69.71M,56.04M,58.09M,58.26M,54.23M,56.38M,51.39M,47.56M,55.57M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense CF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-66.53M,0.141M,66.39M,,,,,,18.62M,13.80M,10.98M,11.92M,10.00M,19.15M,1.329M,9.701M,5.30M,5.412M,5.125M,6.982M,4.71M,4.097M,3.701M,3.907M,-5.541M,13.29M,0.638M,6.332M,-4.823M,6.102M,6.205M,6.062M,6.651M,7.198M,6.407M,6.018M,4.284M,3.56M,3.237M,2.995M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Depreciation and Amortization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-704.27M,245.68M,263.82M,194.77M,326.12M,164.55M,155.32M,160.62M,171.44M,128.09M,125.72M,119.91M,107.32M,106.33M,103.54M,107.06M,94.61M,99.18M,114.16M,111.74M,87.65M,79.69M,86.42M,84.10M,15.59M,134.72M,41.13M,82.14M,-27.03M,70.48M,91.87M,75.77M,62.69M,65.29M,64.66M,60.25M,60.67M,54.95M,50.80M,58.57M,58.50M,55.00M,53.30M,49.20M,56.80M,53.60M,50.20M,53.00M,56.10M,59.10M,53.40M,51.30M,50.80M,42.40M,47.60M,51.30M,47.90M,62.00M,62.10M,64.60M,61.80M,51.10M,52.20M,53.10M,51.70M,45.70M,48.10M,42.80M,58.80M,37.60M,42.60M,43.20M,17.80M,44.40M,41.50M,45.90M,45.80M,70.90M,47.20M,49.60M
"Total Depreciation, Amortization, Depletion",328.57M,325.56M,264.30M,229.41M,204.62M,197.50M,190.75M,182.74M,37.10M,243.64M,234.99M,236.15M,256.79M,255.90M,255.24M,286.15M,301.70M,433.71M,403.39M,481.03M,551.85M,499.15M,458.99M,396.25M,414.20M,394.67M,381.38M,363.14M,336.16M,274.53M,309.82M,332.59M,181.19M,263.00M,256.78M,263.75M,263.19M,248.03M,288.21M,292.68M,214.78M,245.68M,263.82M,194.77M,326.12M,164.55M,155.32M,160.62M,171.44M,128.09M,125.72M,119.91M,107.32M,106.33M,103.54M,107.06M,94.61M,99.18M,114.16M,111.74M,87.65M,79.69M,86.42M,84.10M,15.59M,134.72M,41.13M,82.14M,-27.03M,70.48M,91.87M,75.77M,62.69M,65.29M,64.66M,60.25M,60.67M,54.95M,50.80M,58.57M,58.50M,55.00M,53.30M,49.20M,56.80M,53.60M,50.20M,53.00M,56.10M,59.10M,53.40M,51.30M,50.80M,42.40M,47.60M,51.30M,47.90M,62.00M,62.10M,64.60M,61.80M,51.10M,52.20M,53.10M,51.70M,45.70M,48.10M,42.80M,58.80M,37.60M,42.60M,43.20M,17.80M,44.40M,41.50M,45.90M,45.80M,70.90M,47.20M,49.60M
Deferred Taxes,-22.07M,32.60M,2.412M,15.59M,-43.23M,14.26M,-0.937M,-147.72M,273.64M,-36.70M,-25.40M,58.53M,-42.69M,-28.96M,-230.52M,-85.68M,-2.91M,-780.88M,-10.05M,-184.19M,-235.47M,46.44M,-5.045M,23.17M,16.71M,68.66M,47.42M,25.33M,178.72M,120.05M,35.87M,8.072M,23.17M,101.11M,8.751M,0.813M,107.64M,5.706M,14.96M,18.27M,50.76M,22.22M,25.02M,-0.785M,15.73M,54.79M,51.77M,110.78M,5.517M,12.63M,8.437M,10.53M,35.27M,39.33M,-23.88M,1.779M,20.68M,16.30M,3.655M,0.119M,9.394M,49.08M,38.90M,8.787M,7.889M,-9.292M,20.54M,-14.90M,-0.239M,-8.301M,11.48M,-0.264M,18.24M,20.32M,24.52M,16.97M,33.15M,15.54M,10.28M,4.454M,21.60M,2.80M,5.80M,7.80M,-18.90M,6.50M,7.80M,3.70M,18.70M,-4.30M,5.00M,6.60M,-52.20M,10.20M,4.50M,3.10M,-31.50M,-10.00M,-0.30M,-5.40M,11.10M,8.50M,-3.60M,5.30M,-9.70M,11.50M,20.00M,-3.30M,-29.70M,14.10M,-3.40M,-2.70M,18.70M,3.70M,-2.80M,3.60M,-23.80M,-0.50M,10.50M,2.40M
