Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,756.98M,750.34M,646.11M,590.55M,476.07M,475.46M,426.77M,396.33M,-197.63M,511.19M,477.56M,509.04M,536.30M,486.28M,411.22M,429.09M,653.76M,665.59M,718.62M,749.15M,1.219B,1.431B,1.358B,1.281B,1.332B,1.366B,1.316B,1.299B,-3.371B,2.655B,7.147B,6.954B,-16.58B,7.194B,7.408B,6.266B,5.427B,5.211B,5.592B,5.229B,5.807B,5.202B,4.500B,3.416B,4.460B,8.185B,8.249B,6.467B,5.609B,4.773B,4.615B,3.428B,3.336B,4.153B,3.798B,2.987B,3.193B,3.311B,2.772B,2.404B,2.312B,2.262B,2.097B,1.628B,1.202B,1.295B,1.173B,1.322B,942.55M,1.048B,1.035B,755.21M,158.68M,1.112B,1.297B,1.186B,286.23M,1.232B,1.092B,1.019B,1.367B,632.40M,449.96M,302.90M,1.023B,432.20M,447.80M,439.70M,564.70M,555.20M,506.30M,507.20M,645.40M,477.90M,499.80M,421.40M,435.90M,420.30M,447.30M,407.80M,401.10M,492.80M,434.80M,409.50M,387.90M,420.00M,430.30M,398.50M,475.10M,404.80M,409.90M,366.00M,183.20M,469.60M,477.10M,470.90M,538.60M,577.50M,436.90M,459.60M,424.40M,406.80M,434.90M,386.60M,364.00M,381.80M,370.90M,356.90M,344.90M,427.20M,368.40M,333.50M,327.70M,327.60M,327.60M,327.60M,507.00M,576.00M,572.30M,495.60M,538.40M,560.50M,477.40M,548.20M
Revenue,756.98M,750.34M,646.11M,590.55M,476.07M,475.46M,426.77M,396.33M,-197.63M,511.19M,477.56M,509.04M,536.30M,486.28M,411.22M,429.09M,653.76M,665.59M,718.62M,749.15M,1.219B,1.431B,1.358B,1.281B,1.332B,1.366B,1.316B,1.299B,-3.371B,2.655B,7.147B,6.954B,-16.62B,7.220B,7.408B,6.266B,5.487B,5.200B,5.592B,5.180B,5.737B,5.184B,4.556B,3.446B,4.411B,8.167B,8.344B,6.510B,5.624B,4.773B,4.615B,3.428B,3.364B,4.153B,3.798B,2.991B,2.998B,3.317B,2.950B,2.415B,2.240B,2.293B,2.106B,1.648B,1.272B,1.295B,1.223B,1.322B,960.09M,1.048B,1.035B,755.21M,270.67M,1.115B,1.297B,1.189B,265.62M,1.247B,1.092B,1.021B,1.367B,632.40M,449.96M,302.90M,1.023B,432.20M,447.80M,439.70M,564.70M,555.20M,506.30M,507.20M,645.40M,477.90M,499.80M,421.40M,435.90M,420.30M,447.30M,407.80M,401.10M,492.80M,434.80M,409.50M,387.90M,420.00M,430.30M,398.50M,475.10M,404.80M,409.90M,366.00M,183.20M,469.60M,477.10M,470.90M,538.60M,577.50M,436.90M,459.60M,424.40M,406.80M,434.90M,386.60M,364.00M,381.80M,370.90M,356.90M,344.90M,427.20M,368.40M,333.50M,327.70M,327.60M,327.60M,327.60M,507.00M,576.00M,572.30M,495.60M,538.40M,560.50M,477.40M,548.20M
Cost of Goods Sold,517.29M,473.19M,401.43M,361.10M,304.63M,281.25M,271.99M,271.58M,-9.556M,356.39M,346.17M,358.30M,380.86M,375.56M,411.77M,445.25M,490.27M,617.53M,630.88M,713.45M,828.10M,764.67M,744.86M,658.50M,819.49M,653.19M,633.16M,700.36M,-2.944B,1.757B,5.941B,5.847B,-17.42B,6.326B,6.434B,5.421B,4.028B,4.490B,4.713B,4.445B,4.604B,4.552B,3.983B,3.030B,1.534B,7.013B,7.144B,5.614B,5.062B,4.272B,3.995B,3.069B,3.026B,3.594B,3.307B,2.600B,2.777B,2.790B,2.233B,2.063B,1.959B,1.977B,1.720B,1.396B,1.176B,1.079B,1.019B,1.083B,890.90M,901.14M,880.07M,654.70M,144.77M,956.26M,964.00M,951.17M,72.86M,1.015B,905.24M,869.47M,1.195B,473.70M,345.80M,243.70M,949.00M,345.60M,343.30M,344.80M,416.40M,409.20M,373.60M,360.70M,483.50M,378.40M,394.90M,314.30M,345.30M,342.40M,330.60M,311.80M,360.30M,356.20M,322.20M,285.60M,320.10M,327.00M,329.20M,315.00M,347.50M,362.30M,322.00M,295.70M,203.60M,343.50M,386.40M,347.70M,478.40M,407.60M,292.30M,330.40M,272.40M,304.70M,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,239.69M,277.14M,244.68M,229.45M,171.44M,194.20M,154.78M,124.75M,-188.07M,154.80M,131.39M,150.74M,155.45M,110.71M,-0.552M,-16.16M,163.48M,48.06M,87.74M,35.70M,390.71M,666.34M,613.05M,622.70M,512.24M,713.24M,682.44M,598.56M,-427.49M,898.12M,1.206B,1.107B,798.82M,894.33M,973.41M,844.93M,1.459B,709.86M,878.52M,735.59M,1.132B,631.52M,572.48M,416.04M,2.877B,1.155B,1.200B,895.45M,561.76M,501.46M,619.78M,358.38M,337.43M,559.38M,491.26M,391.74M,221.35M,526.55M,716.69M,351.39M,280.80M,316.05M,385.36M,251.63M,95.61M,216.15M,204.00M,239.46M,69.19M,146.64M,154.81M,100.50M,125.90M,158.67M,333.03M,238.21M,192.76M,231.83M,187.16M,151.04M,172.00M,158.70M,104.16M,59.20M,73.80M,86.60M,104.50M,94.90M,148.30M,146.00M,132.70M,146.50M,161.90M,99.50M,104.90M,107.10M,90.60M,77.90M,116.70M,96.00M,40.80M,136.60M,112.60M,123.90M,67.80M,93.00M,101.10M,83.50M,127.60M,42.50M,87.90M,70.30M,-20.40M,126.10M,90.70M,123.20M,60.20M,169.90M,144.60M,129.20M,152.00M,102.10M,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,56.48M,55.37M,57.53M,63.36M,40.12M,60.68M,56.30M,48.10M,51.95M,51.37M,52.81M,51.26M,50.13M,55.52M,67.11M,73.51M,68.73M,71.79M,79.18M,86.97M,94.02M,82.96M,95.00M,92.03M,111.46M,99.33M,86.90M,81.47M,52.52M,66.14M,87.62M,88.16M,-9.518M,72.86M,77.53M,69.66M,67.06M,63.89M,68.85M,65.13M,30.73M,58.01M,96.69M,63.08M,42.42M,61.64M,60.50M,63.93M,55.99M,65.59M,54.73M,52.99M,89.38M,52.24M,46.55M,40.38M,6.98M,75.14M,40.46M,36.30M,34.83M,33.62M,33.19M,30.68M,27.92M,31.86M,27.19M,30.82M,23.75M,23.17M,23.13M,22.36M,26.11M,25.70M,24.98M,21.05M,23.87M,22.96M,20.78M,17.86M,29.30M,19.00M,16.90M,16.50M,12.40M,15.40M,16.90M,16.80M,13.10M,23.80M,38.00M,42.90M,-23.20M,35.20M,29.20M,27.10M,16.50M,16.30M,17.20M,17.60M,-14.80M,27.20M,25.60M,28.60M,15.70M,16.50M,16.80M,16.20M,18.70M,18.50M,37.20M,17.20M,3.40M,23.10M,151.60M,22.90M,91.00M,22.30M,20.10M,20.60M,70.40M,20.40M,,,,,,,,,,,,,,,,,,,,,,
Income Statement Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.04M,58.09M,58.26M,54.23M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortization Expense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.765M,0.782M,0.785M,0.788M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,2.515M,3.493M,5.019M,0.454M,-19.81M,17.28M,0.437M,7.963M,-0.822M,0.70M,3.858M,130.53M,-30.44M,-0.73M,3.809M,-95.07M,-192.21M,-2.301B,18.25M,135.88M,92.72M,-0.133M,,0.019M,0.175M,-0.038M,-21.59M,,-199.86M,-0.12M,0.035M,0.09M,-340.11M,0.00,0.00,5.351M,-17.70M,0.00,-5.346M,-5.516M,-69.60M,-6.717M,-6.164M,,,,,,-16.96M,-8.17M,-88.56M,-6.571M,-3.696M,-59.55M,-91.36M,-77.71M,-81.81M,3.976M,166.63M,-2.328M,-16.14M,36.52M,-0.874M,26.70M,21.38M,-3.031M,46.78M,,-52.42M,-18.31M,4.571M,,,,,,-9.828M,-41.99M,,,0.00,,,-3.00M,,,,1.10M,-55.40M,1.10M,1.40M,1.10M,-65.90M,49.40M,18.60M,15.90M,-223.60M,2.90M,1.70M,13.40M,,,,,,,,,-20.60M,20.80M,29.40M,0.60M,87.50M,0.60M,0.50M,0.60M,123.20M,1.20M,1.10M,0.90M,28.00M,0.60M,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,10.99M,13.80M,13.07M,10.10M,11.97M,15.07M,12.88M,12.16M,10.85M,10.82M,10.74M,11.21M,8.158M,9.592M,13.44M,12.64M,11.70M,14.26M,19.04M,20.79M,23.42M,28.57M,28.89M,26.33M,29.54M,22.39M,20.33M,15.06M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,74.18M,44.93M,54.10M,46.07M,47.28M,44.21M,44.32M,44.54M,39.84M,48.68M,45.14M,44.60M,44.28M,39.22M,34.45M,30.22M,30.50M,30.14M,28.64M,28.08M,33.44M,29.65M,28.72M,24.02M,22.62M,20.52M,15.12M,13.64M,6.014M,1.48M,2.122M,5.316M,10.60M,14.85M,9.961M,5.286M,4.344M,8.043M,10.20M,12.14M,-39.98M,16.75M,25.31M,11.99M,45.74M,16.62M,15.56M,14.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
