date,eps_growth
"Feb. 29, 2020",-57.14%
"Nov. 30, 2019",-39.32%
"Aug. 31, 2019",-8.39%
"May 31, 2019",
"Feb. 28, 2019",-63.11%
"Nov. 30, 2018",23.59%
"Aug. 31, 2018",41.55%
"May 31, 2018",10.67%
"Feb. 28, 2018",266.7%
"Nov. 30, 2017",9.65%
"Aug. 31, 2017",-17.36%
"May 31, 2017",
"Feb. 28, 2017",12.50%
"Nov. 30, 2016",6.15%
"Aug. 31, 2016",9.50%
"May 31, 2016",
"Feb. 29, 2016",-15.60%
"Nov. 30, 2015",5.63%
"Aug. 31, 2015",7.08%
"May 31, 2015",
"Feb. 28, 2015",77.24%
"Nov. 30, 2014",47.13%
"Aug. 31, 2014",47.71%
"May 31, 2014",158.9%
"Feb. 28, 2014",8.85%
"Nov. 30, 2013",12.95%
"Aug. 31, 2013",5.52%
"May 31, 2013",-45.40%
"Feb. 28, 2013",-31.52%
"Nov. 30, 2012",-11.46%
"Aug. 31, 2012",-0.68%
"May 31, 2012",-0.57%
"Feb. 29, 2012",126.0%
"Nov. 30, 2011",76.40%
"Aug. 31, 2011",21.67%
"May 31, 2011",31.58%
"Feb. 28, 2011",-3.95%
"Nov. 30, 2010",-19.09%
"Aug. 31, 2010",106.9%
"May 31, 2010",
"Feb. 28, 2010",145.2%
"Nov. 30, 2009",-30.38%
"Aug. 31, 2009",-52.85%
"May 31, 2009",
"Feb. 28, 2009",-75.40%
"Nov. 30, 2008",2.60%
"Aug. 31, 2008",-22.15%
"May 31, 2008",
"Feb. 29, 2008",-6.67%
"Nov. 30, 2007",-6.10%
"Aug. 31, 2007",3.27%
"May 31, 2007",7.69%
"Feb. 28, 2007",-2.17%
"Nov. 30, 2006",7.19%
"Aug. 31, 2006",39.09%
"May 31, 2006",24.66%
"Feb. 28, 2006",33.98%
"Nov. 30, 2005",33.04%
"Aug. 31, 2005",1.85%
"May 31, 2005",7.35%
"Feb. 28, 2005",51.47%
"Nov. 30, 2004",283.3%
"Aug. 31, 2004",157.1%
"May 31, 2004",47.83%
"Feb. 29, 2004",38.78%
"Nov. 30, 2003",-62.96%
"Aug. 31, 2003",-19.23%
"May 31, 2003",17.95%
"Feb. 28, 2003",25.64%
"Nov. 30, 2002",0.00%
"Aug. 31, 2002",44.44%
"May 31, 2002",110.8%
"Feb. 28, 2002",5.41%
"Nov. 30, 2001",20.90%
"Aug. 31, 2001",-37.93%
"May 31, 2001",-55.42%
"Feb. 28, 2001",-5.13%
"Nov. 30, 2000",17.54%
"Aug. 31, 2000",11.54%
"May 31, 2000",13.70%
"Feb. 29, 2000",50.00%
"Nov. 30, 1999",-8.06%
"Aug. 31, 1999",4.00%
"May 31, 1999",28.07%
"Feb. 28, 1999",271.4%
"Nov. 30, 1998",34.78%
"Aug. 31, 1998",-18.03%
"May 31, 1998",
"Feb. 28, 1998",-74.07%
"Nov. 30, 1997",2.22%
"Aug. 31, 1997",125.9%
"May 31, 1997",
"Feb. 28, 1997",125.0%
"Nov. 30, 1996",12.50%
"Aug. 31, 1996",-20.59%
"May 31, 1996",31.58%
"Feb. 29, 1996",-57.14%
"Nov. 30, 1995",2.56%
"Aug. 31, 1995",25.93%
"May 31, 1995",5.56%
"Feb. 28, 1995",100.0%
"Nov. 30, 1994",44.44%
"Aug. 31, 1994",80.00%
"May 31, 1994",
"Feb. 28, 1994",180.0%
"Nov. 30, 1993",50.00%
"Aug. 31, 1993",150.0%
"May 31, 1993",
"Feb. 28, 1993",
"Nov. 30, 1992",38.46%
"Aug. 31, 1992",-25.00%
"May 31, 1992",13.33%
"Feb. 29, 1992",
"Nov. 30, 1991",-27.78%
"Aug. 31, 1991",-61.90%
"May 31, 1991",-25.00%
"Feb. 28, 1991",
"Nov. 30, 1990",0.00%
"Aug. 31, 1990",40.00%
"May 31, 1990",0.00%
"Feb. 28, 1990",-75.00%
"Nov. 30, 1989",-30.77%
"Aug. 31, 1989",-34.78%
"May 31, 1989",-20.00%
"Feb. 28, 1989",-33.33%
"Nov. 30, 1988",23.81%
"Aug. 31, 1988",-8.00%
"May 31, 1988",31.58%
"Feb. 29, 1988",0.00%
"Nov. 30, 1987",
"Aug. 31, 1987",108.3%
"May 31, 1987",0.00%
"Feb. 28, 1987",38.46%
"Nov. 30, 1986",
"Aug. 31, 1986",-29.41%
"May 31, 1986",-17.39%
"Feb. 28, 1986",44.44%
"Nov. 30, 1985",200.0%
"Aug. 31, 1985",240.0%
"May 31, 1985",53.33%
"Feb. 28, 1985",-40.00%
