date,ytd_return
"March 19, 2020",-26.14%
"March 18, 2020",-34.08%
"March 17, 2020",-37.20%
"March 16, 2020",-40.16%
"March 13, 2020",-29.48%
"March 12, 2020",-35.85%
"March 11, 2020",-26.59%
"March 10, 2020",-20.20%
"March 9, 2020",-23.48%
"March 6, 2020",-15.56%
"March 5, 2020",-14.07%
"March 4, 2020",-9.79%
"March 3, 2020",-11.98%
"March 2, 2020",-7.58%
"Feb. 28, 2020",-6.64%
"Feb. 27, 2020",-8.23%
"Feb. 26, 2020",-4.42%
"Feb. 25, 2020",-3.71%
"Feb. 24, 2020",2.41%
"Feb. 21, 2020",7.96%
"Feb. 20, 2020",9.06%
"Feb. 19, 2020",6.57%
"Feb. 18, 2020",4.87%
"Feb. 14, 2020",4.90%
"Feb. 13, 2020",6.79%
"Feb. 12, 2020",4.83%
"Feb. 11, 2020",4.49%
"Feb. 10, 2020",3.68%
"Feb. 7, 2020",2.94%
"Feb. 6, 2020",-1.71%
"Feb. 5, 2020",-0.83%
"Feb. 4, 2020",-2.45%
"Feb. 3, 2020",-4.87%
"Jan. 31, 2020",-4.34%
"Jan. 30, 2020",-1.95%
"Jan. 29, 2020",-2.08%
"Jan. 28, 2020",-1.86%
"Jan. 27, 2020",-1.80%
"Jan. 24, 2020",1.89%
"Jan. 23, 2020",2.43%
"Jan. 22, 2020",2.86%
"Jan. 21, 2020",4.18%
"Jan. 17, 2020",5.80%
"Jan. 16, 2020",5.51%
"Jan. 15, 2020",5.25%
"Jan. 14, 2020",7.22%
"Jan. 13, 2020",5.34%
"Jan. 10, 2020",3.58%
"Jan. 9, 2020",4.52%
"Jan. 8, 2020",3.92%
"Jan. 7, 2020",2.37%
"Jan. 6, 2020",1.38%
"Jan. 3, 2020",1.30%
"Jan. 2, 2020",2.57%
"Dec. 31, 2019",-6.27%
"Dec. 30, 2019",-6.94%
"Dec. 27, 2019",-5.45%
"Dec. 26, 2019",-5.48%
"Dec. 24, 2019",-6.54%
"Dec. 23, 2019",-5.98%
"Dec. 20, 2019",-8.19%
"Dec. 19, 2019",-8.87%
"Dec. 18, 2019",-8.97%
"Dec. 17, 2019",1.18%
"Dec. 16, 2019",1.72%
"Dec. 13, 2019",2.69%
"Dec. 12, 2019",2.21%
"Dec. 11, 2019",-1.39%
"Dec. 10, 2019",-2.68%
"Dec. 9, 2019",-2.99%
"Dec. 6, 2019",-2.93%
"Dec. 5, 2019",-4.58%
"Dec. 4, 2019",-4.62%
"Dec. 3, 2019",-6.32%
"Dec. 2, 2019",-2.05%
"Nov. 29, 2019",-0.79%
"Nov. 27, 2019",0.11%
"Nov. 26, 2019",0.11%
"Nov. 25, 2019",-1.11%
"Nov. 22, 2019",-2.96%
"Nov. 21, 2019",-5.73%
"Nov. 20, 2019",-5.62%
"Nov. 19, 2019",-3.60%
"Nov. 18, 2019",-2.34%
"Nov. 15, 2019",-1.86%
"Nov. 14, 2019",-2.88%
"Nov. 13, 2019",-3.16%
"Nov. 12, 2019",-0.07%
"Nov. 11, 2019",0.53%
"Nov. 8, 2019",1.17%
"Nov. 7, 2019",1.61%
