date,three_year_return
"March 19, 2020",-42.61%
"March 18, 2020",-48.77%
"March 17, 2020",-51.20%
"March 16, 2020",-53.14%
"March 13, 2020",-44.79%
"March 12, 2020",-49.52%
"March 11, 2020",-42.23%
"March 10, 2020",-37.20%
"March 9, 2020",-39.52%
"March 6, 2020",-34.17%
"March 5, 2020",-33.15%
"March 4, 2020",-29.81%
"March 3, 2020",-31.52%
"March 2, 2020",-28.23%
"Feb. 28, 2020",-26.85%
"Feb. 27, 2020",-28.61%
"Feb. 26, 2020",-25.16%
"Feb. 25, 2020",-24.60%
"Feb. 24, 2020",-19.81%
"Feb. 21, 2020",-16.44%
"Feb. 20, 2020",-14.86%
"Feb. 19, 2020",-16.81%
"Feb. 18, 2020",-18.14%
"Feb. 14, 2020",-17.58%
"Feb. 13, 2020",-16.15%
"Feb. 12, 2020",-16.95%
"Feb. 11, 2020",-17.22%
"Feb. 10, 2020",-17.86%
"Feb. 7, 2020",-17.21%
"Feb. 6, 2020",-21.03%
"Feb. 5, 2020",-20.33%
"Feb. 4, 2020",-21.62%
"Feb. 3, 2020",-23.57%
"Jan. 31, 2020",-23.52%
"Jan. 30, 2020",-23.28%
"Jan. 29, 2020",-24.43%
"Jan. 28, 2020",-24.25%
"Jan. 27, 2020",-24.21%
"Jan. 24, 2020",-19.59%
"Jan. 23, 2020",-16.49%
"Jan. 22, 2020",-16.25%
"Jan. 21, 2020",-15.18%
"Jan. 17, 2020",-14.01%
"Jan. 16, 2020",-14.69%
"Jan. 15, 2020",-14.90%
"Jan. 14, 2020",-13.30%
"Jan. 13, 2020",-14.83%
"Jan. 10, 2020",-16.87%
"Jan. 9, 2020",-16.68%
"Jan. 8, 2020",-17.41%
"Jan. 7, 2020",-18.63%
"Jan. 6, 2020",-19.42%
"Jan. 3, 2020",-18.39%
"Jan. 2, 2020",-16.70%
"Dec. 31, 2019",-18.79%
"Dec. 30, 2019",-19.37%
"Dec. 27, 2019",-19.95%
"Dec. 26, 2019",-20.52%
"Dec. 24, 2019",-21.41%
"Dec. 23, 2019",-20.94%
"Dec. 20, 2019",-25.47%
"Dec. 19, 2019",-25.60%
"Dec. 18, 2019",-25.25%
"Dec. 17, 2019",-16.92%
"Dec. 16, 2019",-16.48%
"Dec. 13, 2019",-17.59%
"Dec. 12, 2019",-16.57%
"Dec. 11, 2019",-19.08%
"Dec. 10, 2019",-20.14%
"Dec. 9, 2019",-20.39%
"Dec. 6, 2019",-18.99%
"Dec. 5, 2019",-20.85%
"Dec. 4, 2019",-20.19%
"Dec. 3, 2019",-21.61%
"Dec. 2, 2019",-18.03%
"Nov. 29, 2019",-15.90%
"Nov. 27, 2019",-15.67%
"Nov. 26, 2019",-15.68%
"Nov. 25, 2019",-16.70%
"Nov. 22, 2019",-16.76%
"Nov. 21, 2019",-19.17%
"Nov. 20, 2019",-18.70%
"Nov. 19, 2019",-16.96%
"Nov. 18, 2019",-15.88%
"Nov. 15, 2019",-14.60%
