Income (Quarterly),2019-12,2019-09,2019-06,2019-03,2018-12,2018-09,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03,2015-12,2015-09,2015-06,2015-03,2014-12,2014-09,2014-06,2014-03,2013-12,2013-09,2013-06,2013-03,2012-12,2012-09,2012-06,2012-03,2011-12,2011-09,2011-06,2011-03,2010-12,2010-09,2010-06,2010-03,2009-12,2009-09,2009-06,2009-03,2008-12,2008-09,2008-06,2008-03,2007-12,2007-09,2007-06,2007-03,2006-12,2006-09,2006-06,2006-03,2005-12,2005-09,2005-06,2005-03,2004-12,2004-09,2004-06,2004-03,2003-12,2003-09,2003-06,2003-03,2002-12,2002-09,2002-06,2002-03,2001-12,2001-09,2001-06,2001-03,2000-12,2000-09,2000-06,2000-03,1999-12,1999-09,1999-06,1999-03,1998-12,1998-09,1998-06,1998-03,1997-12,1997-09,1997-06,1997-03,1996-12,1996-09,1996-06,1996-03,1995-12,1995-09,1995-06,1995-03,1994-12,1994-09,1994-06,1994-03,1993-12,1993-09,1993-06,1993-03,1992-12,1992-09,1992-06,1992-03,1991-12,1991-09,1991-06,1991-03,1990-12,1990-09,1990-06,1990-03,1989-12,1989-09,1989-06,1989-03,1988-12,1988-09,1988-06,1988-03,1987-12,1987-09,1987-06,1987-03,1986-12,1986-09,1986-06,1986-03,1985-12,1985-09,1985-06,1985-03,1984-12,1984-09,1984-06,1984-03
Operating Revenue,2.774B,2.993B,2.557B,3.119B,2.858B,3.029B,2.64B,2.932B,2.775B,2.998B,2.628B,2.925B,2.775B,3.022B,2.483B,2.751B,2.626B,2.883B,2.498B,2.941B,2.907B,2.853B,2.667B,3.181B,2.710B,2.805B,2.561B,2.762B,2.531B,2.707B,2.258B,2.558B,2.492B,2.832B,2.438B,2.817B,2.490B,2.629B,2.308B,2.807B,2.618B,2.315B,2.016B,2.696B,2.708B,2.852B,2.616B,3.028B,2.603B,2.400B,2.267B,2.764B,2.467B,2.412B,2.074B,2.888B,2.885B,2.286B,2.064B,2.391B,2.232B,1.975B,1.763B,2.262B,1.958B,2.002B,1.712B,2.076B,-93.28M,2.473B,2.226B,3.318B,-255.31M,2.982B,3.697B,4.207B,4.636B,2.563B,2.416B,793.00M,5.509B,813.40M,627.16M,743.18M,4.506B,766.40M,638.70M,701.40M,699.50M,697.40M,594.30M,742.50M,710.00M,633.30M,592.30M,718.70M,652.80M,664.90M,589.70M,661.20M,608.70M,612.30M,582.00M,683.40M,630.00M,588.00M,545.30M,640.80M,572.00M,523.40M,500.30M,563.80M,533.50M,589.20M,501.50M,577.00M,431.20M,554.90M,494.80M,583.60M,499.60M,483.00M,446.50M,560.60M,484.00M,530.30M,442.80M,549.40M,428.80M,470.30M,398.70M,472.50M,421.10M,432.70M,387.20M,540.60M,465.80M,389.90M,386.90M,546.20M,444.10M,413.30M,393.30M,524.90M
Revenue,2.798B,3.013B,2.577B,3.141B,2.88B,3.048B,2.658B,2.951B,2.795B,3.017B,2.645B,2.946B,2.795B,3.040B,2.500B,2.772B,2.645B,2.901B,2.515B,2.962B,2.929B,2.870B,2.685B,3.203B,2.731B,2.822B,2.579B,2.783B,2.551B,2.724B,2.275B,2.578B,2.568B,2.832B,2.438B,2.817B,2.567B,2.629B,2.308B,2.807B,2.618B,2.315B,2.016B,2.696B,2.708B,2.852B,2.616B,3.028B,2.603B,2.400B,2.267B,2.764B,2.467B,2.412B,2.074B,2.888B,2.885B,2.286B,2.064B,2.391B,2.232B,1.975B,1.763B,2.262B,1.958B,2.002B,1.712B,2.076B,-93.28M,2.473B,2.226B,3.318B,-255.31M,2.982B,3.697B,4.207B,4.636B,2.563B,2.416B,793.00M,5.509B,813.40M,627.16M,743.18M,4.506B,766.40M,638.70M,701.40M,699.50M,697.40M,594.30M,742.50M,710.00M,633.30M,592.30M,718.70M,652.80M,664.90M,589.70M,661.20M,608.70M,612.30M,582.00M,683.40M,630.00M,588.00M,545.30M,640.80M,572.00M,523.40M,500.30M,563.80M,533.50M,589.20M,501.50M,577.00M,431.20M,554.90M,494.80M,583.60M,499.60M,483.00M,446.50M,560.60M,484.00M,530.30M,442.80M,549.40M,428.80M,470.30M,398.70M,472.50M,421.10M,432.70M,387.20M,540.60M,465.80M,389.90M,386.90M,546.20M,444.10M,413.30M,393.30M,524.90M
Cost of Goods Sold,1.689B,1.596B,1.521B,2.00B,1.885B,1.70B,1.625B,1.872B,1.778B,1.614B,1.613B,1.879B,1.773B,1.703B,1.551B,1.760B,1.727B,1.655B,1.634B,2.018B,2.090B,1.756B,1.845B,2.260B,1.980B,1.756B,1.770B,1.902B,1.831B,1.595B,1.484B,1.800B,3.439B,1.245B,1.159B,1.483B,3.379B,1.186B,1.118B,1.577B,1.433B,1.059B,947.48M,1.522B,1.617B,1.674B,1.589B,1.088B,1.522B,1.191B,1.251B,979.57M,,,951.21M,994.70M,1.127B,1.121B,912.40M,761.41M,750.20M,888.84M,723.02M,678.69M,659.90M,814.45M,639.34M,592.15M,546.84M,618.44M,544.40M,488.11M,598.95M,947.91M,836.98M,779.66M,3.510B,1.173B,518.04M,323.95M,3.109B,294.40M,223.68M,280.21M,2.264B,234.60M,209.50M,261.70M,,,182.60M,291.60M,258.70M,165.70M,180.50M,271.80M,215.60M,187.60M,189.40M,234.50M,203.20M,183.20M,194.10M,254.30M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,1.109B,1.417B,1.056B,1.141B,995.00M,1.348B,1.033B,1.079B,1.017B,1.403B,1.032B,1.067B,1.022B,1.337B,948.50M,1.013B,918.52M,1.246B,881.32M,943.84M,838.77M,1.114B,839.63M,942.18M,750.49M,1.067B,808.67M,880.79M,720.40M,1.129B,790.58M,778.16M,-870.81M,1.587B,1.279B,1.333B,-812.20M,1.443B,1.190B,1.230B,1.185B,1.256B,1.069B,1.174B,1.090B,1.177B,1.026B,1.940B,1.082B,1.209B,1.016B,1.784B,,,1.123B,1.893B,1.758B,1.165B,1.152B,1.629B,1.481B,1.086B,1.040B,1.583B,1.299B,1.187B,1.073B,1.483B,-640.12M,1.855B,1.681B,2.829B,-854.26M,2.034B,2.860B,3.427B,1.126B,1.390B,1.898B,469.05M,2.400B,519.00M,403.48M,462.98M,2.242B,531.80M,429.20M,439.70M,,,411.70M,450.90M,451.30M,467.60M,411.80M,446.90M,437.20M,477.30M,400.30M,426.70M,405.50M,429.10M,387.90M,429.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
General and Administrative Expense,,,,,,,,,,1.00M,1.00M,1.00M,,1.148M,0.92M,0.50M,2.422M,0.689M,0.222M,2.045M,2.26M,0.417M,2.438M,1.808M,2.36M,2.386M,1.407M,2.139M,1.463M,2.042M,1.061M,2.799M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SG&A Expense,,,,,,,,,,1.00M,1.00M,1.00M,,1.148M,0.92M,0.50M,2.422M,0.689M,0.222M,2.045M,2.26M,0.417M,2.438M,1.808M,2.36M,2.386M,1.407M,2.139M,1.463M,2.042M,1.061M,2.799M,-207.29M,71.28M,65.50M,75.30M,-167.92M,60.86M,55.55M,58.04M,48.32M,47.16M,41.42M,45.22M,25.44M,27.48M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.10M,,34.30M,35.23M,30.56M,,36.90M,36.50M,37.80M,,,36.30M,34.60M,32.10M,41.20M,40.40M,34.90M,57.30M,45.30M,39.70M,43.70M,45.50M,48.30M,45.10M,49.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Income and Charges,22.00M,15.00M,20.00M,20.00M,29.00M,30.00M,26.00M,23.00M,21.00M,24.00M,16.00M,14.00M,14.96M,17.20M,14.73M,13.11M,15.27M,15.43M,12.64M,12.66M,20.90M,23.34M,23.61M,21.91M,24.54M,21.28M,22.11M,19.75M,18.34M,15.86M,15.19M,13.45M,12.47M,12.42M,20.94M,20.67M,-1.193M,44.36M,13.46M,4.477M,115.34M,-17.65M,-3.376M,27.88M,23.67M,16.20M,24.54M,2.025M,7.953M,0.122M,-8.529M,1.666M,,,0.802M,1.118M,6.445M,-0.288M,9.984M,0.242M,9.387M,1.942M,13.38M,14.56M,-17.25M,17.44M,2.135M,-3.918M,,,,,,,,40.00M,193.81M,-5.027M,55.55M,49.61M,77.22M,51.50M,17.38M,-12.36M,116.98M,-7.30M,1.20M,5.10M,,,-1.60M,-3.70M,-5.30M,-0.30M,-5.00M,-3.40M,-18.40M,-2.20M,-6.10M,2.00M,-10.20M,5.30M,-2.00M,3.20M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non Income Taxes,140.00M,137.00M,142.00M,150.00M,139.00M,135.00M,137.00M,145.00M,134.00M,134.00M,135.00M,142.00M,131.02M,117.19M,138.47M,145.32M,122.56M,123.08M,129.73M,136.63M,106.90M,117.96M,116.28M,124.70M,99.74M,105.29M,102.05M,113.43M,103.03M,100.64M,99.63M,105.62M,96.74M,89.02M,92.49M,96.57M,87.72M,81.79M,81.01M,81.38M,77.41M,78.91M,73.07M,77.04M,68.36M,70.24M,68.56M,79.41M,67.29M,66.02M,66.24M,78.18M,,,71.32M,78.54M,67.18M,73.55M,71.33M,75.75M,62.90M,73.65M,71.94M,84.80M,31.73M,84.25M,81.36M,80.70M,62.10M,87.54M,84.71M,82.90M,76.44M,53.89M,87.75M,94.75M,79.42M,90.06M,89.28M,57.86M,76.32M,115.70M,55.15M,57.63M,69.44M,123.30M,76.80M,86.50M,,,78.80M,98.40M,-69.60M,114.00M,87.60M,100.80M,-60.30M,114.80M,85.80M,98.90M,-52.10M,97.70M,86.90M,102.10M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Expense,178.00M,186.00M,173.00M,173.00M,157.00M,158.00M,158.00M,154.00M,149.00M,151.00M,150.00M,153.00M,148.95M,152.26M,149.67M,144.12M,140.43M,139.28M,132.20M,133.10M,130.26M,127.53M,123.67M,123.75M,127.37M,129.14M,124.31M,125.06M,127.54M,137.27M,138.20M,139.14M,121.97M,141.71M,146.34M,144.35M,97.85M,144.85M,134.88M,143.83M,131.08M,129.75M,129.45M,141.80M,136.96M,130.15M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Operating Interest Income,,,,,,,,,,6.00M,2.00M,4.00M,,1.385M,0.984M,4.07M,1.061M,0.312M,0.389M,4.238M,1.029M,1.139M,1.292M,3.893M,0.728M,1.304M,1.505M,4.806M,2.004M,1.82M,0.881M,5.622M,2.411M,1.974M,1.481M,4.773M,2.849M,4.88M,1.243M,2.051M,6.153M,2.709M,3.14M,2.926M,7.509M,9.854M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
